Pseudorca_crassidens_(NRM_558405),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.59,9.04,7.23,4.38,1.85,130,5.51,2.4,0,0,NA,3.27,2.93,80
T2,4.92,8.44,7.13,4.64,1.72,128,5.13,3.04,0,0,NA,4.05,3.54,91
T3,6.18,8.4,6.9,4.46,2.26,131,5.1,2.9,1,1.03,4.7,4.39,3.75,98
T4,7.07,8.56,7.13,4.49,2.51,133,4.99,2.6,2.14,1.87,4.9,5.19,4.08,102
T5,7.72,8.84,7.15,5.36,2.96,135,4.26,2.81,2.09,2.26,4.8,4.9,4.04,105
T6,8.57,8.63,7.86,6.1,3.39,135,4.64,3.3,3.05,2.53,5.3,4.98,4.26,102
T7,9.41,9.02,8.22,7.21,4.42,133,4.2,3.84,2.83,2.02,6.4,5.32,3.63,102
T8,9.95,9.51,8.37,8.1,4.87,126,3.74,4.55,2.08,2.02,6,6.21,3.97,110
T9,10.89,9.6,8.59,9.12,5.12,125,3.88,4.74,2.24,1.8,6.2,9.15,4.82,110
T10,11.28,9.5,8.84,10.17,5.46,123,3.95,4.79,2.92,2.14,5.7,13.33,4.87,112
L1,11.67,9.54,8.83,11.42,5.52,120,3.91,4.75,2.69,1.6,5.65,13.55,5.6,98
L2,10.04,9.49,9.14,11.91,5.33,121,3.75,4.91,2.04,1.86,6,12.82,5.56,90
L3,12.23,9.63,9.83,14.03,5.83,125,4.03,4.93,1.32,1.22,6.1,13.74,5.35,81
L4,12.13,9.78,9.38,12.99,5.35,125,4.5,4.62,1.14,1.48,6.3,12.55,5.35,82
L5,12.61,10,9.78,13.42,5.42,118,4.62,5.34,NA,NA,NA,13.18,5.5,80
L6,12.95,10.4,10.2,11.78,5.61,111,4.89,4.77,1.02,1.01,7.1,13.34,5.32,92
L7,13.67,10.5,10.01,9.68,7.04,107,5.17,4.97,0.85,0.78,7.5,12.83,5.6,95
L8,13.84,10.66,10.52,9.27,7.06,101,5.17,5.23,1.78,1.43,8.1,12,5.49,100
L9,14.57,10.82,10.84,7.33,5.84,100,4.21,5.3,NA,NA,NA,11.53,5.39,100
L10,14.9,11.08,11.38,6.86,6.99,102,3.6,5.66,1.8,1.42,8.25,10.88,5.54,98
Ca1,15.21,11,12.45,6.74,6.3,100,3.35,5.7,NA,NA,NA,10.09,5.88,99
Ca2,14.98,11.43,11.68,6.92,6.57,94,3.16,5.8,1.86,1.66,6.8,9.6,5.64,97
Ca3,14.75,11.34,11.45,6.2,5.41,90,2.87,5.77,1.66,1.59,6.2,8.12,6.31,90
Ca4,14.88,11.23,11.8,5.49,5.85,92,2.54,5.81,1.9,1.66,5.8,7.34,6.43,83
Ca5,14.76,11.53,11.63,4.54,5.74,98,2.68,6.02,2.38,2.08,5.6,6.2,6.59,80
Ca6,14.8,11.67,12.16,5.29,4.81,104,2.08,5.78,3.36,2.86,5.7,4.99,6.02,82
Ca7,14.13,11.24,12.74,5.6,4.87,109,2.15,5.83,2.34,2.51,5.5,3.12,5.81,84
Ca8,13.58,10.56,12.52,3.98,4.1,115,1.42,5.73,2.26,1.87,4.5,1.99,5.28,88
Ca9,12.9,10.17,11.81,3.91,4.5,119,1.44,6.38,1.52,1.83,3.9,0,0,NA
Ca10,12.17,9.28,11.44,2.15,3.07,125,1.36,6.63,1.68,1.64,3.1,0,0,NA
Ca11,11.25,8.28,11.58,2.14,3.15,115,0.75,6.39,2.38,1.7,2,0,0,NA
Ca12,9.67,7.61,10.83,0.84,2.19,110,0.95,5.98,1.67,1.5,1.4,0,0,NA
Ca13,7.94,7.9,9.06,0,0,NA,0.93,4.78,1.52,1.54,1.1,0,0,NA
Ca14,5.04,7.76,7.96,0,0,NA,0,0,0,0,NA,0,0,NA
