Lagenorhynchus_albirostris_(NRM_20065395),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
Ca18,1.91,5.21,5.42,5.4,1.21,94,1.1,1.55,0.7,0.54,3.8,3.1,1.04,60
Ca19,1.85,5.16,5.72,4.62,1.22,95,1.01,1.32,0.79,0.5,3.4,2.52,1.03,55
Ca20,1.9,5.4,5.8,4.03,1.1,95,0.86,1.47,0.51,0.57,2.8,1.56,0.97,47
Ca21,1.88,5.21,5.48,3.53,1.35,95,0.83,1.57,0.41,0.52,2.85,1.43,1.01,50
Ca22,1.95,5.09,5.54,3.49,1.61,94,0.86,1.27,0.63,0.61,2.3,0.95,0.79,64
Ca23,2.04,5.1,5.44,3.33,1.78,97,0.8,1.38,0.79,0.72,1.95,0.71,0.57,68
Ca24,2.07,5.06,5.48,2.6,1.71,98,0.77,1.35,0.51,0.63,1.8,0.53,0.57,75
Ca25,2.17,4.78,5.5,2.13,1.66,101,0.59,1.38,0.67,0.64,1.3,0,0,NA
Ca26,2.28,4.47,5.6,2,2.09,102,0.61,1.64,0.54,0.52,1.1,0,0,NA
Ca27,2.33,4.22,5.86,1.46,1.76,103,0.6,1.65,0.69,0.53,0.9,0,0,NA
Ca28,2.35,4.05,5.53,0.96,1.97,104,0.46,1.55,0.61,0.42,0.8,0,0,NA
Ca29,2.34,3.99,5.37,0.72,1.91,103,0.45,1.64,0.49,0.46,0.7,0,0,NA
Ca30,2.19,3.97,4.93,0,0,NA,0.44,1.28,0.36,0.42,0.45,0,0,NA
Ca31,1.89,3.98,4.42,0,0,NA,0.52,0.56,0,0,NA,0,0,NA
