Steno_bredanensis_(USNM_504468),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.24,3.66,2.9,3.11,0.81,130,2.67,1.24,0,0,NA,1.87,1.14,77
T2,1.68,3.56,2.83,4.79,1.04,130,2.7,1.84,0,0,NA,1.94,1.1,74
T3,2.13,3.39,2.89,5.5,1.08,135,2.74,1.73,0,0,NA,1.92,1.34,79
T4,2.28,3.28,2.75,6.05,1.15,132,2.85,1.87,0,0,NA,1.93,1.47,87
T5,2.36,3.13,2.8,6.15,1.13,133,3.12,1.71,0.44,0.43,2.15,2.06,1.5,95
T6,2.54,3.08,2.94,6.41,0.96,134,2.88,1.09,0.62,0.61,2.2,2.1,1.7,107
T7,2.69,3.2,3.06,7.11,1.01,134,2.62,1.13,1.37,0.86,3.05,2.83,1.48,107
T8,2.82,3.22,3.14,7.31,1.19,133,2.5,1.34,1.95,1.03,3.4,3.15,1.45,104
T9,2.87,3.27,3.16,7.7,1.48,130,2.38,1.66,1.89,1.09,3.5,3.8,1.39,100
T10,2.93,3.32,3.21,7.75,1.59,127,2.41,2.04,2.01,0.91,3.65,4.44,1.65,103
T11,2.9,3.47,3.22,8.09,1.76,125,2.32,2.07,1.97,0.85,3.9,5.8,1.69,105
T12,2.93,3.49,3.22,8.84,1.9,122,2.47,2.16,2.17,0.94,3.8,8.27,1.78,105
L1,2.79,3.66,3.21,9.49,1.66,106,2.57,1.87,1.89,0.72,3.8,8.31,1.6,100
L2,2.82,3.57,3.27,10.06,1.58,103,2.59,1.88,0.54,0.6,3.75,8.16,1.69,102
L3,2.77,3.54,3.3,10.64,1.65,101,2.67,1.85,1.66,0.59,3.8,8.08,1.63,101
L4,2.81,3.53,3.37,10.72,1.65,97,2.7,1.77,1.61,0.54,3.8,7.83,1.72,99
L5,2.82,3.61,3.42,11.03,1.6,95,2.75,1.66,1.11,0.63,3.8,7.8,1.61,97
L6,2.74,3.62,3.47,10.91,1.49,93,2.79,1.53,1.38,0.54,3.9,7.49,1.62,98
L7,2.75,3.68,3.62,11.11,1.54,91,2.75,1.69,0.91,0.76,3.7,7.04,1.62,96
L8,2.7,3.64,3.73,11.05,1.56,89,2.65,1.53,0.75,0.76,3.7,7.04,1.58,98
L9,2.65,3.73,3.72,11.14,1.39,86,2.56,1.33,0.63,0.77,3.75,6.69,1.58,103
L10,2.72,3.84,3.76,10.69,1.47,86,2.56,1.48,0.46,0.59,3.8,6.73,1.07,99
L11,2.77,3.89,3.71,10.56,1.75,83,2.54,1.51,0.68,0.74,3.6,6.72,1.09,98
L12,2.8,4,3.72,10.23,1.78,78,2.52,1.42,0.58,0.7,3.55,6.26,1.05,94
L13,2.83,4.09,3.81,9.61,1.75,78,2.54,1.35,0.49,0.58,3.9,6.27,1.02,95
L14,2.81,4.2,3.99,9.25,1.88,76,2.56,1.37,0.44,0.51,4.15,6.18,1.02,94
L15,2.87,4.25,4.2,8.61,1.95,74,2.61,1.45,0.49,0.6,4.3,6.06,1.12,90
Ca1,2.91,4.34,4.24,8.38,1.89,75,2.67,1.43,0.64,0.79,4.7,6.04,1.52,92
Ca2,2.94,4.22,4.34,7.5,1.91,72,2.57,1.41,0.75,0.66,4.7,5.78,1.6,94
Ca3,2.94,4.3,4.42,6.96,2.03,71,2.56,1.4,0.87,0.71,4.5,5.7,1.71,91
Ca4,3.05,4.46,4.3,6.88,1.86,68,2.55,1.4,1.01,0.61,4.65,5.38,1.98,88
Ca5,3.05,4.51,4.38,6.49,1.77,66,2.5,1.49,1.24,0.36,4.8,5.1,2.23,87
Ca6,3.1,4.55,4.37,5.95,1.85,66,2.38,1.49,1.44,0.49,4.7,4.77,2.53,83
Ca7,3.14,4.47,4.38,5.42,1.91,64,2.25,1.63,1.35,0.41,4.55,4.09,2.69,85
Ca8,3.16,4.73,4.55,5.17,1.9,68,1.98,1.64,1.32,0.41,4.25,3.74,2.79,85
Ca9,3.2,4.72,4.63,4.78,1.99,73,1.78,1.82,1.3,0.46,4,3.53,2.65,84
Ca10,3.35,4.8,4.75,4.52,1.93,78,1.64,1.93,1.47,0.48,3.85,2.96,2.5,82
Ca11,3.26,4.74,4.76,4.16,2.07,81,1.49,1.88,1.38,0.53,3.55,2.34,2.35,86
Ca12,3.32,4.74,4.81,3.92,2.15,90,1.34,1.71,1.31,0.57,3.2,2.05,2.14,83
Ca13,3.39,4.66,4.82,3.74,1.9,94,1.21,1.81,1.34,0.61,2.9,1.45,2.03,81
Ca14,3.38,4.62,4.73,3.67,2.5,105,1.15,1.96,1.32,0.67,2.55,1.09,1.76,76
Ca15,3.45,4.45,4.81,3.32,2.01,109,0.91,2.01,1.18,0.79,2.25,0.69,1.79,75
Ca16,3.39,4.29,4.86,2.65,2.02,122,0.85,2.15,1.09,0.71,1.85,0.54,1.63,78
Ca17,3.46,3.99,4.9,2.37,2.14,120,0.6,2.03,0.99,0.69,1.4,0,0,NA
Ca18,3.47,3.67,4.82,1.72,2.13,116,0.33,2.21,0.71,0.68,0.95,0,0,NA
Ca19,3.35,3.46,4.66,0.71,1.77,114,0.41,2.16,0.64,0.49,0.55,0,0,NA
Ca20,2.84,3.42,4.23,0,0,NA,0.31,2.05,0.39,0.35,0.45,0,0,NA
Ca21,2.22,3.47,3.77,0,0,NA,0,0,0,0,NA,0,0,NA
