Lagenorhynchus_obliquidens_(USNM_504413),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.28,4.61,3.71,3.2,0.81,113,2.47,1.29,0,0,NA,2.57,0.98,81
T2,1.93,4.3,3.53,4.05,0.99,122,2.48,1.62,0,0,NA,2.39,1.45,80
T3,2.34,4.14,3.37,4.34,1,124,2.67,1.6,0.26,0.31,2.25,2.14,1.63,88
T4,2.69,3.97,3.31,4.7,1.3,126,3.03,1.69,0.41,0.32,2.1,2.53,1.75,92
T5,2.94,3.94,3.43,4.81,1.62,121,3.24,1.42,0.72,0.68,2.1,2.43,1.99,96
T6,3.08,3.89,3.53,4.76,1.87,120,3.37,1.58,0.72,0.58,2.45,2.55,2.03,100
T7,3.12,NA,NA,5.1,2.27,120,3.21,1.68,1.01,0.6,2.55,2.55,2.07,98
T8,3.15,4.25,3.75,5.68,2.11,121,3.13,1.77,1.45,0.79,3.1,3.17,2.11,92
T9,3.18,4.3,3.74,6.59,2.16,116,2.97,1.81,1.25,0.68,3.2,4.12,2.2,95
T10,3.11,4.31,3.83,6.8,2.16,114,2.95,1.76,1.33,0.93,3.4,4.78,2.24,96
T11,3,4.33,3.88,7.18,2.23,110,2.96,1.78,1.45,0.82,3.45,5.53,2.35,97
T12,2.95,4.31,3.87,7.67,2.2,103,2.84,1.79,1.06,0.96,3.65,6.84,2.01,102
T13,2.83,4.24,4.13,8.3,2.09,103,2.9,1.96,1.12,0.89,3.8,8.82,1.51,107
T14,2.69,4.27,4.06,8.95,2.04,102,3.06,1.8,1.21,0.95,3.8,9.41,1.63,104
L1,2.65,4.36,4.16,9.15,1.88,102,3.09,1.82,0.88,0.86,4.05,9.7,1.47,96
L2,2.55,4.46,4.03,9.48,1.86,100,3.22,1.89,0.78,0.87,3.95,9.5,1.66,95
L3,2.52,4.61,4.02,9.66,1.49,93,3.2,1.64,0.68,0.89,4,9.64,1.49,93
L4,2.48,4.61,4,9.61,1.65,89,3.26,1.71,0.6,1.08,4.2,9.19,1.62,90
L5,2.35,4.64,4.08,9.76,1.58,86,3.18,1.74,0.42,0.83,4.1,9.04,1.47,88
L6,2.27,4.47,4.1,9.8,1.55,84,3.3,1.47,0.51,0.86,4.15,8.77,1.43,87
L7,2.27,4.54,4.17,9.97,1.39,82,3.18,1.44,0.55,0.94,4.15,8.62,1.44,87
L8,2.25,4.54,4.26,9.97,1.4,76,3.02,1.51,0.49,0.85,4.2,8.43,1.46,84
L9,2.21,4.74,4.39,10.32,1.38,74,2.9,1.45,0.38,1,4.05,8.04,1.41,83
L10,2.21,4.66,4.39,10.09,1.49,73,2.79,1.53,0,0,NA,8.01,1.36,82
L11,2.29,4.7,4.38,10.06,1.26,71,2.81,1.45,0,0,NA,7.84,1.32,79
L12,2.2,4.66,4.42,9.78,1.38,71,2.75,1.54,0,0,NA,7.77,1.39,76
L13,2.18,4.67,4.41,9.55,1.36,70,2.8,1.37,0,0,NA,7.54,1.27,75
L14,2.17,4.68,4.44,9.69,1.26,68,2.7,1.41,0,0,NA,7.46,1.29,73
L15,2.19,4.77,4.5,9.57,1.4,68,2.5,1.33,0,0,NA,7.18,1.26,74
L16,2.17,4.78,4.53,9.27,1.3,70,2.41,1.44,0,0,NA,7.43,1.23,71
L17,2.2,4.69,4.68,9.31,1.28,73,2.22,1.37,0,0,NA,7.2,1.19,70
L18,2.2,4.84,4.68,8.84,1.32,70,2.2,1.39,0,0,NA,7.12,1.25,72
L19,2.24,4.86,4.75,8.63,1.44,71,2.13,1.48,0.21,0.34,5.25,7.04,1.29,70
