Mesoplodon_europaeus_(USNM_572952),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.45,6.56,4.61,8.6,2.67,80,5.25,2.34,0,0,NA,4.15,2.06,56
T2,3.79,5.88,4.4,12.5,3.67,94,5.1,3.36,0,0,NA,3.45,2.22,68
T3,4.76,5.85,4.26,14.9,4.65,106,5.6,3.97,0.62,1.14,3.5,2.86,2.66,70
T4,6,5.9,4.38,16.6,5.37,108,5.45,4.14,0.96,1.78,3.9,2.76,3.1,80
T5,6.67,5.91,4.63,17.35,6.08,108,5.46,3.84,1.57,2.01,4.75,2.84,3.37,80
T6,7.29,6.06,4.9,18.75,6.27,107,5.29,4.82,1.87,2.33,5.25,3.07,3.73,88
T7,7.96,6.19,4.73,19.9,6.68,109,4.93,5.57,4.39,2.39,5.8,0,0,NA
T8,8.56,6.71,4.86,20.85,6.82,110,4.68,5.69,5.48,2.98,5.9,6.28,6.17,92
T9,8.8,7.18,5.03,21.55,7.25,108,4.72,6,5.75,3.38,6.3,9.34,6.85,92
T10,9.56,7.56,5.78,21.8,7.14,108,4.73,5.91,5.5,2.44,6.4,9.53,6.23,80
L1,9.88,7.54,6.3,22.2,7.1,107,4.44,6.26,5.25,2.67,6.5,9.78,6.13,74
L2,10.25,7.61,6.36,23.25,7.18,104,4.46,6.03,5.78,2.99,6.7,10.3,6.77,65
L3,10.63,7.59,6.53,23.7,6.76,104,4.69,6.5,5.55,2.82,6.2,10.59,7,67
L4,11.24,7.68,6.73,24,6.73,104,4.9,6.13,5.07,3.31,6.6,10.2,7.34,62
L5,11.66,7.81,7.16,24.5,6.89,105,4.42,6.54,5.03,3.25,7,9.78,7.49,70
L6,12.47,7.83,7.13,24.65,6.47,109,4.53,7.32,5.34,3.51,6.75,9.81,7.79,70
L7,12.91,8.16,7.02,25.55,6.53,109,4.13,7.83,5.6,3.82,6.75,9.66,8.04,65
L8,13.25,8.37,7.45,25.65,6.66,106,3.74,8.18,5.24,3.81,6.3,8.76,8.5,72
L9,13.31,8.4,7.41,24.1,7.02,103,3.49,9.02,4.52,3.43,5.85,8.31,9.18,79
L10,12.92,8.61,7.48,22.85,8.25,105,3.3,8.68,3.12,3.54,5.8,8.31,8.33,83
Ca1,12.2,8.64,8.02,22.2,8.32,105,2.58,8.66,3.01,3.4,5,7.67,7.78,80
Ca2,11.55,8.41,8.45,20.1,8.04,105,2.43,8.24,2.82,3.29,4.45,6.81,8.08,78
Ca3,10.9,8.19,8.56,17.2,7.36,108,2.1,7.91,2.55,2.84,4.05,5.69,7.46,82
Ca4,10.39,8.11,9.17,14.4,7.3,108,1.76,7.19,2.31,2.1,3.45,4.92,7.23,80
Ca5,9.95,8.19,9.03,12.05,7.88,110,1.5,6.12,2.19,2.01,3,3.63,6.25,80
Ca6,9.45,7.63,8.99,9.2,7.39,117,1.35,5.7,1.92,1.78,1.8,2.23,5.37,75
Ca7,8.99,6.9,8.7,6.3,6.96,114,1.05,5.68,2,1.38,1.6,1.22,2.81,81
Ca8,8.52,6.65,8.23,4.5,6.83,113,0.89,5.37,1.52,0.87,1.05,0,0,NA
Ca9,7.64,6.48,7.67,2.7,6.08,117,0.65,5.42,1.34,0.84,0.9,0,0,NA
Ca10,5.95,6.75,7.27,0,0,NA,0,0,0,0,NA,0,0,NA
