Lagenorhynchus_acutus_(USNM_504164),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.96,4.37,3.08,2.86,0.5,115,2.7,1,0,0,NA,3.17,0.94,67
T2,1.32,3.9,3.03,3.43,0.79,117,2.67,1.21,0,0,NA,2.81,0.95,82
T3,1.72,3.61,3.07,3.92,1.04,122,2.54,1.74,0,0,NA,2.59,1.06,92
T4,2.06,3.4,2.95,4.41,1.16,133,2.66,1.63,0.48,0.52,2.65,2.87,1.49,98
T5,2.21,3.37,3.06,4.14,1.13,133,2.64,1.24,0.93,0.66,2.8,2.81,1.6,97
T6,2.37,3.39,3.1,4.38,1.1,131,2.64,1.15,1.47,0.74,3,3.01,1.63,104
T7,2.53,3.44,3.2,4.77,1.21,126,2.66,1.1,1.81,0.91,3.6,3.3,1.73,104
T8,2.64,3.52,3.26,5.12,1.26,130,2.76,1.17,1.88,0.93,3.75,3.93,1.94,99
T9,2.78,3.61,3.33,5.52,1.45,128,2.48,1.63,1.68,1.22,4.05,5.15,2.14,95
T10,2.84,3.66,3.3,6.23,1.67,126,2.82,1.61,1.76,1.24,4.3,5.65,2.29,91
T11,2.84,3.73,3.34,6.42,1.73,124,2.84,1.74,1.72,1.23,4.4,6.15,2.22,92
T12,2.88,3.78,3.36,6.8,1.86,123,2.86,1.75,1.56,1.11,4.45,6.6,2.48,95
T13,2.92,3.89,3.43,6.89,1.99,120,2.9,1.77,1.43,1.02,4.35,7.34,2.43,99
T14,2.9,3.99,3.54,7.25,1.99,116,2.72,1.84,1.23,1.13,4.15,8.87,2.11,102
T15,2.89,NA,NA,7.66,1.86,108,2.63,1.65,0.91,1.12,4,10.79,2.04,105
L1,2.86,4.25,3.73,7.94,1.74,105,2.54,1.71,0.94,0.94,4,10.58,1.97,103
L2,2.78,4.28,3.75,8.14,1.69,104,2.61,1.62,0.73,0.88,4.05,10.56,1.96,100
L3,2.68,4.45,3.77,7.99,1.62,96,2.79,1.52,0.42,0.76,3.95,10.37,1.95,97
L4,2.61,4.39,3.88,7.98,1.59,93,2.76,1.38,0.49,0.74,3.8,9.75,1.89,94
