Lagenorhynchus_acutus_(USNM_504164),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
L5,2.61,4.49,4.06,7.97,1.54,91,2.8,1.33,0.6,0.86,3.85,9.62,1.94,92
L6,2.56,4.52,4.1,7.61,1.69,90,2.96,1.53,0.59,0.74,4,8.81,1.85,93
L7,2.55,4.48,4.23,7.94,1.56,90,2.76,1.39,0.35,0.61,4.15,8.36,1.84,92
L8,2.45,4.48,4.28,7.78,1.61,88,2.78,1.65,0.38,0.82,4.1,8.2,1.74,92
L9,2.37,4.62,4.31,7.72,1.55,87,2.89,1.29,0.43,0.69,4.35,7.59,1.73,92
L10,2.37,4.66,4.36,7.97,1.64,82,2.99,1.59,0.38,0.54,4.4,7.7,1.79,89
L11,2.39,4.76,4.54,7.98,1.63,83,2.95,1.34,0.55,0.64,4.5,7.37,1.74,90
L12,2.33,4.82,4.83,7.73,1.68,82,2.57,1.46,0.38,0.68,4.4,6.64,1.71,88
L13,2.26,4.76,4.54,7.67,1.66,86,2.71,1.45,0.39,0.74,4.65,6.61,1.7,90
L14,2.22,4.73,4.6,7.45,1.67,85,2.61,1.46,0.33,0.49,4.45,6.52,1.62,90
L15,2.19,4.63,4.74,7.31,1.5,86,2.62,1.2,0.19,0.25,4.5,6.24,1.53,90
L16,2.16,4.66,4.74,6.97,1.46,85,2.55,1.29,0,0,NA,6.18,1.54,96
L17,2.07,4.56,4.69,7,1.44,82,2.39,1.25,0,0,NA,5.85,1.4,99
L18,2.05,4.63,4.75,6.76,1.3,78,2.31,1.39,0,0,NA,5.8,1.44,100
L19,2.06,4.62,4.81,6.92,1.28,77,2.39,1.25,0,0,NA,4.9,1.34,101
Ca1,2,4.75,4.86,6.8,1.33,73,2.28,1.3,0,0,NA,5,1.36,103
Ca2,2,4.7,4.83,6.61,1.24,72,2.18,1.32,0.22,0.25,4.7,4.99,1.3,104
Ca3,1.95,4.75,4.91,6.45,1.16,72,2.08,1.26,0.26,0.31,4.65,4.96,1.42,100
Ca4,1.97,4.74,4.75,6.53,1.21,72,1.99,1.27,0.62,0.41,5,5.01,1.27,99
Ca5,1.94,4.78,4.75,6.24,1.17,68,1.88,1.23,0.55,0.35,4.8,5.08,1.45,98
Ca6,1.96,4.78,4.77,6.11,1.06,66,1.79,1.22,0.53,0.25,4.75,4.91,1.26,95
Ca7,1.92,4.81,4.87,6.21,1.21,64,1.9,1.18,0.53,0.38,4.95,4.71,1.42,96
Ca8,1.9,4.8,4.77,5.91,1.19,63,1.79,1.22,0.61,0.44,5.05,4.73,1.51,92
Ca9,1.92,4.88,4.76,5.83,1.22,57,1.78,1.24,0.81,0.34,4.95,4.52,1.52,92
Ca10,1.89,4.92,4.69,5.89,1.32,56,1.57,1.22,0.89,0.54,5.15,4.51,1.47,90
Ca11,1.94,5.03,4.69,5.56,1.45,53,1.74,1.22,0.72,0.51,4.85,4.08,1.39,89
Ca12,1.99,4.94,4.69,5.52,1.29,54,1.6,1.26,0.75,0.59,4.65,3.74,1.44,87
Ca13,1.97,5.06,4.82,5.02,1.29,55,1.44,1.18,0.74,0.54,4.4,3.73,1.75,85
Ca14,1.99,4.83,4.83,4.64,1.36,56,1.33,1.33,0.75,0.53,4.2,3.51,1.58,84
Ca15,2,4.92,4.9,4.31,1.39,58,1.24,1.29,0.76,0.49,3.9,3.22,1.6,82
Ca16,2.01,4.81,4.87,3.95,1.48,59,0.97,1.23,0.78,0.49,3.65,2.79,1.74,83
Ca17,2,4.77,4.95,3.61,1.73,58,0.78,1.31,0.74,0.44,3.25,2.54,1.46,82
Ca18,2.02,4.78,5.11,3.13,1.8,63,0.77,1.31,0.62,0.43,3,2.12,1.46,80
Ca19,2.06,4.76,4.87,2.97,1.94,70,0.69,1.31,0.72,0.51,2.65,1.78,1.49,77
Ca20,2.08,4.75,4.87,2.78,1.81,76,0.59,1.35,0.75,0.54,2.35,1.33,1.36,71
Ca21,2.15,4.76,4.82,2.45,1.61,78,0.55,1.36,0.68,0.56,2,1.03,1.35,68
Ca22,2.26,4.49,4.78,2.04,1.62,76,0.54,1.46,0.58,0.47,1.65,0.61,1.22,74
Ca23,2.37,4.24,4.66,1.72,1.41,80,0.46,1.46,0.51,0.6,1.35,0.36,0.82,88
Ca24,2.46,4,4.83,1.26,1.33,121,0.49,1.58,0.47,0.51,0.95,0,0,NA
Ca25,2.48,3.84,4.8,0.84,1.57,117,0.41,1.69,0.39,0.38,0.7,0,0,NA
Ca26,2.45,3.67,4.28,0.43,1.53,113,0.37,1.54,0.35,0.31,0.5,0,0,NA
Ca27,2.36,3.61,4.45,NA,NA,NA,0.4,1.31,0.32,0.26,0.25,0,0,NA
Ca28,2.19,3.58,4.13,0,0,NA,0,0,0,0,NA,0,0,NA
Ca29,1.68,3.72,3.7,0,0,NA,0,0,0,0,NA,0,0,NA
