Delphinus_delphis_(USNM_593770),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.89,3.51,2.76,4.04,0.61,126,2.51,0.84,0,0,NA,2.25,0.67,77
T2,1.28,3.34,2.69,4.63,0.79,124,2.39,1.15,0,0,NA,2.13,0.88,83
T3,1.66,3.11,2.67,4.74,0.94,128,2.56,1.56,0.32,0.38,2.15,1.83,1.2,90
T4,2,3.05,2.69,4.91,0.98,127,2.68,1.63,0.51,0.56,2.75,1.93,1.36,99
T5,2.28,2.87,2.68,4.77,0.95,127,2.65,1.57,0.88,0.54,2.85,2.02,1.46,104
T6,2.47,2.81,2.79,4.97,0.99,127,2.54,1.44,0.82,0.77,2.9,2.49,1.6,107
T7,2.66,2.89,2.81,5.21,1.21,123,2.54,1.35,1.33,1,3.15,3.14,1.67,110
T8,2.74,3.01,2.85,5.71,1.24,124,2.42,1.28,1.63,0.81,3.4,3.46,1.72,103
T9,2.82,3.03,2.83,6.43,1.48,122,2.34,1.4,1.84,0.83,3.3,4.04,1.82,95
T10,2.89,3.17,2.82,6.91,1.62,125,2.42,1.68,2.24,0.92,3.35,4.81,1.91,98
T11,2.93,3.34,2.83,7.28,1.69,123,2.34,1.75,2.02,0.99,3.5,5.04,1.9,97
T12,2.93,3.39,2.87,7.7,1.57,121,2.36,1.75,2.04,0.93,3.7,5.6,1.78,102
T13,2.81,3.45,2.94,7.82,1.63,112,2.47,1.57,2.2,0.97,3.85,6.87,1.74,103
T14,2.75,3.53,2.98,8.21,1.59,106,2.46,1.46,1.85,0.76,4.05,8.5,1.77,105
T15,2.72,3.6,3.07,8.42,1.51,99,2.25,1.38,1.86,0.81,4.1,9.11,1.49,110
L1,2.51,3.56,3.14,8.47,1.4,93,2.32,1.28,1.66,0.67,3.7,8.71,1.23,104
L2,2.5,3.61,3.21,8.41,1.35,86,2.48,1.24,1.54,0.67,3.8,8.54,1.34,100
L3,2.39,3.66,3.25,8.41,1.32,83,2.45,1.25,1.71,0.61,3.85,8.35,1.32,97
L4,2.31,3.69,3.24,8.44,1.3,79,2.53,1.08,1.34,0.46,3.8,8.08,1.36,96
L5,2.21,3.62,3.33,8.57,1.24,76,2.4,1.11,1.54,0.46,3.85,7.88,1.29,92
L6,2.24,3.6,3.45,8.74,1.19,74,2.24,1.2,0.5,0.48,3.15,7.65,1.26,89
L7,2.15,3.69,3.44,8.79,1.27,72,2.29,1.19,0.31,0.46,3.45,7.5,1.24,87
L8,2.09,3.71,3.46,8.64,1.21,72,2.19,1.11,0.22,0.4,3.15,7.3,1.24,87
L9,2.1,3.76,3.55,8.65,1.08,73,2.28,1.04,0.25,0.23,3.4,7.02,1.17,84
L10,2.07,3.8,3.56,8.78,1.11,68,2.22,1.06,0.16,0.22,3.35,7.01,1.19,81
L11,2.03,3.82,3.58,NA,1.08,70,2.29,1.07,0.15,0.22,3.35,6.86,1.06,78
L12,1.94,3.78,3.55,NA,1.1,70,2.24,1.12,0,0,NA,6.89,1,76
L13,2.04,3.71,3.65,8.17,1.15,68,2.19,1.06,0,0,NA,6.68,0.97,74
L14,1.93,3.72,3.61,7.78,1.18,66,2.25,1.1,0,0,NA,6.46,0.95,72
L15,1.91,3.69,3.68,7.44,1.13,68,2.23,1,0,0,NA,6.55,0.94,70
L16,1.92,3.85,3.73,7.44,1.34,67,2.19,0.99,0.13,0.21,3.9,6.27,0.93,69
L17,1.97,3.85,3.69,7.45,1.42,68,2.18,1.07,0.22,0.24,3.95,6.09,1.03,69
L18,1.92,3.85,3.73,7.24,1.43,70,2.06,1.01,0.58,0.44,4.4,5.99,0.99,66
L19,1.98,3.93,3.77,7.2,1.45,70,2.01,0.99,0.93,0.48,4.9,5.75,1.06,63
L20,1.98,3.95,3.92,7.16,1.42,73,2.02,1.1,0.89,0.53,5.05,5.49,1.14,67
Ca1,2.02,3.95,3.87,6.92,1.45,69,2,0.99,0.81,0.54,4.95,5.25,1.08,67
Ca2,2.02,4.01,4.09,6.98,1.41,65,1.95,1.07,1.05,0.52,5.1,5.19,1,62
Ca3,2.1,4.02,4.06,6.89,1.34,67,1.86,1.15,0.91,0.62,5.15,4.9,1.09,61
