Cephalorhynchus_heavisidii_(SAM_ZM36717),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.16,3,2.72,2.07,0.78,110,2.23,0.73,0,0,NA,1.52,0.98,75
T2,1.61,2.9,2.63,2.53,0.75,110,2.13,1.22,0,0,NA,2.22,1.04,80
T3,1.87,2.71,2.94,3.39,0.98,140,2.33,1.79,0.58,0.44,2.3,2.47,1.34,90
T4,2.17,2.64,2.55,4.33,1.1,135,2.22,1.38,0.76,0.37,2.4,2.1,1.43,94
T5,2.36,2.52,2.5,4.53,1.31,133,2.24,1.27,1.07,0.53,2.9,2.22,1.47,95
T6,2.44,2.51,2.47,4.64,1.35,130,2.44,1.29,1.79,0.64,3,2.74,1.48,100
T7,2.53,2.86,2.56,4.8,1.32,128,2.6,1.33,1.64,0.77,3.05,2.63,1.68,97
T8,2.57,2.92,2.58,5.24,1.59,125,2.53,1.49,1.66,1.04,3.1,3.08,1.85,97
T9,2.55,2.9,2.59,5.72,1.53,125,2.66,1.54,1.47,0.99,3.35,3.47,2.05,103
T10,2.53,2.88,2.61,5.24,1.45,123,2.67,1.52,1.74,0.81,3.5,4.25,2.34,105
T11,2.46,2.88,2.71,5.54,1.55,120,2.68,1.51,1.73,0.85,3.6,5.21,1.93,108
T12,2.46,2.97,2.78,NA,1.54,120,2.7,1.52,1.58,0.87,3.6,5.86,1.8,107
T13,2.41,3.02,2.87,NA,1.47,NA,2.6,1.54,1.31,0.75,3.6,7.26,1.66,105
L1,2.33,3.23,2.88,6.08,1.47,110,2.3,1.59,1.59,0.54,3.7,6.73,1.53,100
L2,2.31,3.41,2.94,6.24,1.49,108,2.06,1.34,1.65,0.6,3.6,6.97,1.48,98
L3,2.26,3.41,3.08,6.34,1.36,103,2.2,1.32,0.71,0.66,2.9,7.08,1.61,95
L4,2.29,3.46,3.12,6.55,1.36,95,2.09,1.38,0.38,0.78,2.9,6.85,1.6,92
L5,2.23,3.42,3.16,6.47,1.47,90,2.09,1.43,0.65,0.77,2.95,6.72,1.52,90
L6,2.22,3.24,3.2,6.75,1.34,85,2.02,1.36,0.39,0.87,3,6.5,1.49,90
L7,2.17,3.52,3.23,6.87,1.33,82,1.99,1.36,0.38,0.78,3.1,6.43,1.58,90
L8,2.17,3.49,3.25,6.77,1.2,78,2.02,1.26,0.32,0.62,3.4,5.95,1.42,97
L9,2.13,3.39,3.31,6.7,1.24,78,1.97,1.4,0,0,NA,5.69,1.28,100
L10,2.11,3.43,3.32,6.72,1.28,78,1.93,1.32,0,0,NA,5.53,1.26,100
L11,2.09,3.4,3.34,6.44,1.28,78,2.07,1.31,0,0,NA,5.31,1.17,100
L12,2.07,3.48,3.37,6.24,1.19,75,1.87,1.32,0,0,NA,5.03,1.19,97
L13,2.01,3.44,3.45,5.94,1.23,75,1.88,1.17,0,0,NA,4.8,1.2,92
L14,2.02,3.57,3.59,5.47,1.21,68,1.85,1.2,0.35,0.66,3.4,4.72,1.13,90
L15,2.01,3.54,3.64,5.08,1.27,72,1.87,1.18,0.59,0.75,3.5,4.64,1.17,85
L16,1.97,3.62,3.58,4.82,1.28,75,1.77,1.24,0.67,0.71,3.6,4.36,1.21,80
L17,1.93,3.66,3.59,4.64,1.25,73,1.71,1.27,0.76,0.66,3.65,4.38,1.2,77
L18,1.96,3.8,3.54,4.45,1.3,70,1.71,1.33,0.65,0.56,3.55,4.44,1.29,75
Ca1,1.95,3.82,3.57,4.37,1.32,70,1.87,1.32,0.74,0.44,3.55,4.12,1.33,75
Ca2,1.97,3.73,3.54,3.85,1.36,68,1.76,1.35,0.56,0.64,3.4,3.82,1.44,75
Ca3,1.96,3.85,3.51,3.95,1.41,70,1.55,1.42,0.76,0.56,3.4,3.56,1.38,75
Ca4,2.03,3.75,3.52,3.62,1.57,70,1.35,1.35,0.71,0.56,3.2,3.22,1.4,72
Ca5,2.01,3.74,3.56,3.47,1.46,75,1.04,1.36,0.79,0.57,2.85,2.95,1.45,70
Ca6,2.09,3.68,3.52,3.29,1.4,75,0.89,1.29,0.66,0.57,2.4,2.66,1.23,65
Ca7,2.08,3.67,3.66,2.38,1.5,75,0.89,1.31,0.67,0.65,2.15,2.14,1.42,65
Ca8,2.11,3.61,3.66,2.16,1.64,80,0.63,1.33,0.7,0.58,1.8,1.4,1.11,70
Ca9,2.14,3.48,3.76,1.53,1.81,90,0.56,1.51,0.69,0.58,1.3,0.89,1.06,70
Ca10,2.18,3.3,3.64,1.29,1.8,95,0.47,1.4,0.54,0.56,1.1,0.52,0.87,75
Ca11,2.22,3.22,3.71,1.18,1.74,97,0.41,1.51,0.64,0.54,0.9,0.4,0.86,75
Ca12,2.2,3.02,3.83,0.86,1.78,103,0.45,1.81,0.59,0.48,0.5,0,0,NA
Ca13,2.17,3.02,3.34,0.71,1.75,102,0.43,1.73,0,0,NA,0,0,NA
Ca14,2.15,2.79,3.35,0.72,1.84,100,0.36,1.68,0,0,NA,0,0,NA
Ca15,2.03,2.61,3.24,0.48,1.13,95,0.45,1.35,0,0,NA,0,0,NA
Ca16,1.83,2.64,3.03,0,0,NA,0.35,0.93,0,0,NA,0,0,NA
Ca17,1.44,2.69,2.97,0,0,NA,0,0,0,0,NA,0,0,NA
