Mesoplodon_europaeus_(USNM_550824),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.27,6.83,5.02,5.01,1.7,84,4.39,1.8,0,0,NA,3.77,1.56,52
T2,3.58,6.24,4.76,9.68,3.15,99,5.15,3.5,0,0,NA,3.17,2.42,73
T3,4.92,5.96,4.48,14.5,3.71,108,5.45,4.12,0.69,1.06,3,2.75,3.05,65
T4,6.12,5.83,4.26,15.8,4.92,110,5.18,4.04,0.78,1.31,3.05,2.86,3.46,70
T5,7.03,6,4.35,17,5.48,112,5.17,4.34,1.44,2.4,3.65,2.54,3.81,80
T6,7.51,5.93,4.5,17.45,6.61,114,5.17,4.52,1.38,2.01,4.1,2.55,3.81,92
T7,8.15,6.23,4.76,18.7,6.75,110,4.88,5.61,1.46,1.61,4.5,2.77,3.85,94
T8,8.59,6.71,4.82,19.35,6.72,111,4.68,5.08,4.99,3.53,7,2.79,2.95,93
T9,9.29,7.39,5.01,20.35,6.57,113,4.88,5.98,5.48,4.26,7.45,7.03,5.97,95
T10,9.9,7.69,5.65,20.8,6.55,113,4.66,6.49,5.43,3.84,7,12.66,7.98,90
L1,10.61,8.03,5.91,21.35,7.06,108,4.73,6.95,5.34,3.12,6.6,12.82,6.99,84
L2,11.16,8.21,6.22,22.15,7.18,103,4.97,7.01,3.98,3.6,6.75,12.78,7,80
L3,11.36,8.15,6.51,23.85,7.38,102,5.47,6.71,4.49,3.61,7.35,12.68,7.28,72
L4,11.81,8.33,6.8,24.95,7.43,100,5.42,6.98,4.52,4.31,7.9,12.51,7.59,67
L5,12.29,8.64,7.19,25.35,6.75,102,5.38,7.26,4.6,3.56,8.05,12.26,7.95,70
L6,12.92,8.85,7.59,25.9,6.9,100,4.83,7.81,4.5,3.79,8.4,11.11,7.93,73
L7,13.58,9.06,7.77,25.8,6.98,105,4.62,8.34,4.57,3.56,8.2,10.81,8.17,72
L8,13.89,9.08,7.85,25.4,7.56,104,4.01,9.06,4.83,3.47,7.9,10.52,9.88,75
L9,14.44,9.29,8.19,25.5,7.54,106,3.97,9.22,4.6,3.26,8,10.25,9.74,79
L10,14.85,9.88,8.66,24.6,8.3,104,3.61,10.48,3.03,3.69,7.6,9.36,10.35,83
L11,14.57,10.34,8.77,23.45,8.89,103,3.25,10.6,3.02,3.24,7,9.4,11.42,8
Ca1,13.87,9.62,8.54,21.2,8.85,102,3.11,10.32,2.94,2.71,6.2,8.52,11.2,89
Ca2,13.06,9.76,8.6,19.4,7.85,103,2.77,9.72,2.55,3.19,5.25,6.31,9.92,89
Ca3,12.13,9.39,8.78,16.65,7.66,108,2.26,8.87,2.22,2.06,4.8,5.97,9.13,90
Ca4,11.38,9.36,9.2,15.2,7.33,102,1.91,8.02,2.28,2.15,4.9,4.63,7.94,96
Ca5,10.73,9.19,9.01,12.15,6.3,106,1.43,6.75,2.09,2.16,4.85,3.33,6.78,93
Ca6,10.46,8.67,8.83,9.75,6.48,112,1.27,6.92,1.96,1.98,3.4,1.65,4.36,80
Ca7,9.8,7.63,8.75,7.32,6.35,115,1.04,6.5,1.33,1.37,2.2,0.73,2.47,85
Ca8,9.22,6.96,8.66,4.7,5.83,116,1.06,6.48,1.5,1.09,1.4,0,0,NA
Ca9,8.08,6.66,8.12,2.54,5.63,118,0.66,5.77,1.44,0.9,1.1,0,0,NA
Ca10,6.16,6.42,7.95,0,0,NA,0.59,2.42,0,0,NA,0,0,NA
Ca11,4.55,6.38,6.75,0,0,NA,0,0,0,0,NA,0,0,NA
