Kogia_sima_(USNM_504221),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.91,4.25,3.5,3.04,0.9,98,3.06,0.91,0,0,NA,1.9,1.06,73
T2,2.45,3.89,3.44,4.4,1.41,105,3.17,1.1,0,0,NA,2.22,1.3,66
T3,2.88,3.73,3.31,5.51,2,103,3.33,1.52,0,0,NA,1.45,1.77,76
T4,3.15,3.82,3.27,5.86,2.66,100,3.19,1.76,0,0,NA,1.54,1.63,79
T5,3.28,3.91,3.2,6.27,3.06,102,3.2,1.88,0.48,0.91,2.95,1.55,1.79,81
T6,3.52,3.97,3.37,6.65,3.42,105,2.93,2.11,0.94,1.11,3.05,1.73,1.75,81
T7,3.55,4.17,3.3,6.79,3.44,109,3.09,2.2,1.12,0.95,3.2,1.6,2.04,84
T8,3.76,4.21,3.4,6.99,3.27,108,3.03,2.16,1.29,1.75,3.3,1.56,2.26,85
T9,3.91,4.26,3.69,7.12,3.43,108,3.09,2.17,1.91,1.4,3.35,2.04,1.94,88
T10,4.09,4.41,3.87,7.46,3.61,107,3.05,2.07,2.09,1.86,3.4,2.38,2.41,89
T11,4.22,4.48,3.96,7.52,3.52,108,3.11,2.09,2.33,1.88,3.55,3.64,3.13,95
T12,4.31,4.66,4.1,7.92,3.58,109,3.01,2.22,2.61,1.97,3.7,4.46,3.56,101
T13,4.4,4.74,4.11,8.25,3.7,106,3.05,2.17,2.6,2.29,3.75,5.53,3.81,100
L1,4.57,4.87,4.31,8.64,3.72,97,3.01,2.15,2.9,2.27,4,6.27,4.13,94
L2,4.6,4.9,4.44,9.27,3.79,97,2.8,2.27,2.89,2.3,4.1,6.55,4.02,90
L3,4.58,5.19,4.58,9.63,3.73,96,2.53,2.15,2.87,2.23,4.35,6.59,4.05,89
L4,4.63,5.13,4.6,9.44,3.57,100,2.9,2.19,2.76,2.11,4.4,6.39,4.3,89
L5,4.73,5.16,4.69,9.49,3.6,100,2.82,2.25,2.66,2.09,4.5,6.43,4.73,90
L6,4.73,5.19,4.72,8.74,3.95,100,2.98,2.15,2.66,2.12,4.65,6.19,4.3,90
L7,4.75,5.25,4.82,7.46,3.89,101,2.89,2.13,2.61,2.05,4.75,6,4.39,92
L8,4.68,5.32,4.93,7.37,3.71,104,2.71,2.04,2.52,2.09,4.7,5.82,4.42,92
L9,4.75,5.24,4.9,6.81,3.49,104,2.66,2.16,2.6,1.85,4.6,5.72,4.49,93
L10,4.62,5.3,5,6.17,3.4,107,2.52,2.13,2.29,1.87,4.5,5.28,4.41,94
Ca1,4.46,5.36,4.98,NA,NA,NA,2.27,2.1,2.23,1.7,4.35,5.09,4.52,93
Ca2,4.48,5.28,5.17,3.83,3.01,105,2.24,1.98,2.11,1.64,3.95,4.99,3.74,90
Ca3,4.45,5.18,5.09,3.98,2.54,105,1.91,2.2,1.86,1.45,4,4.64,3.61,90
Ca4,4.24,5.22,4.99,3.29,2.35,99,1.75,2.13,1.38,1.14,3.8,4.22,3.35,87
Ca5,4.13,5.08,4.99,2.71,2.21,101,1.58,2.06,0.87,0.83,3.4,3.41,3.82,85
Ca6,4.09,4.95,4.91,2.3,2.11,98,1.45,1.91,0.69,0.72,3.2,2.71,3.21,85
Ca7,4.01,4.95,4.93,2.14,1.91,96,1.14,1.86,0.66,0.63,3,2.32,3.18,82
Ca8,3.9,4.88,4.81,1.99,1.79,97,1.15,1.89,0.76,0.76,2.8,1.73,2.39,79
Ca9,3.7,4.73,4.69,1.78,1.62,96,1.01,1.82,0.74,0.68,2.45,1.08,1.55,71
Ca10,3.65,4.57,4.54,1.48,1.88,94,0.93,1.79,0.57,0.6,2.35,0.54,1.19,74
Ca11,3.47,4.35,4.42,1.33,1.74,93,0.91,1.85,0.58,0.6,1.75,0,0,NA
Ca12,3.34,4.08,4.25,1.23,1.68,93,0.68,1.85,0.47,0.55,1.6,0,0,NA
Ca13,3.17,3.88,4.12,0.65,1.27,90,0.64,1.7,0.44,0.4,1.3,0,0,NA
Ca14,3.01,3.67,3.88,0.52,1.04,91,0.63,1.69,0.3,0.22,0.9,0,0,NA
Ca15,2.7,3.43,3.71,0,0,NA,0.58,1.4,0,0,NA,0,0,NA
Ca16,2.18,3.43,3.47,0,0,NA,0.48,0.91,0,0,NA,0,0,NA
