Lagenorhynchus_obliquidens_(USNM_504412),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.08,3.94,3.52,2.43,0.7,117,2.11,0.8,0,0,NA,2.29,0.95,73
T2,1.61,3.88,3.25,3.5,0.71,123,2.42,1.29,0,0,NA,2.21,1.14,77
T3,2.04,3.67,3.22,4.38,0.94,130,2.47,1.37,0.39,0.49,2.25,2.51,1.21,80
T4,2.39,3.51,3.11,4.67,1.27,130,2.6,1.29,0.62,0.53,2.2,2.52,1.65,91
T5,2.64,NA,NA,5.04,1.2,132,2.58,1.23,0.95,0.63,2.15,2.77,1.6,97
T6,2.8,3.46,3.31,5.34,1.41,128,2.51,1.28,1.21,0.65,2.05,2.81,1.76,102
T7,2.87,3.53,3.39,5.87,1.69,123,2.56,1.34,1.27,0.46,2.1,3.29,1.59,92
T8,2.89,3.63,3.41,6.37,1.95,121,2.38,1.77,1.21,0.68,2.3,4.06,1.9,90
T9,2.87,3.78,3.4,6.79,1.92,118,2.6,1.54,0.89,0.7,2.4,4.93,1.84,91
T10,2.9,3.8,3.49,7.27,1.9,114,2.38,1.76,0.81,0.65,2.35,5.48,1.84,93
T11,2.78,3.83,3.49,7.7,1.94,110,2.39,1.66,0.78,0.77,2.75,6.01,2.03,96
T12,2.72,3.96,3.61,7.86,1.98,108,2.43,1.61,0.76,0.79,2.8,7.42,1.81,100
T13,2.59,4.01,3.67,8.12,1.85,106,2.43,1.43,0.75,0.77,2.8,8.92,1.48,105
T14,2.49,3.96,3.67,8.38,1.83,100,2.74,1.38,0.66,0.73,2.9,10.18,1.49,108
L1,2.43,3.96,3.61,8.84,1.44,94,2.78,1.39,0.61,0.66,3.5,10.08,1.17,104
L2,2.36,3.89,3.66,8.94,1.52,92,2.68,1.38,0.59,0.68,3.6,9.97,1.2,100
L3,2.3,3.95,3.71,9.2,1.44,88,2.78,1.42,0.65,0.66,3.5,9.78,1.11,97
L4,2.23,3.92,3.74,9.27,1.31,85,2.85,1.42,0.45,0.63,3.5,9.8,1.17,96
