Mesoplodon_densirostris_(USNM_504217),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.93,7.14,4.54,13.39,3.66,88,5.65,2.35,0,0,NA,3.5,1.27,62
T2,2.68,6.73,4.19,16.95,4.5,99,5.62,2.81,0,0,NA,3.5,1.68,60
T3,3.63,7.19,3.9,18.5,4.51,108,6.11,3.4,0.52,0.51,3.4,3.4,2.3,63
T4,4.34,7.41,3.87,20.05,4.59,116,5.88,3.17,1.28,1.3,4.05,3.56,2.7,81
T5,4.91,7.44,3.95,20.6,5.15,119,5.61,3.2,1.27,1.66,4.9,3.81,3.2,85
T6,5.62,7.23,4.01,22.1,4.76,119,5.41,3.03,1.78,1.67,5.7,3.4,3.43,93
T7,6.75,6.51,4.42,22.9,5.18,119,5.3,4.22,3.74,2.28,6.3,2.37,1.62,99
T8,7.51,6.52,4.75,23.15,5.5,120,4.88,4.87,5.33,4.05,7.45,2.3,3.09,95
T9,8.42,6.99,5.01,24.05,5.4,121,4.82,5.39,6.31,4.28,8.5,7.41,5.21,94
T10,9.06,7.23,5.42,24.2,4.97,119,4.4,5.77,6.03,4.04,8.4,9.4,5.42,78
L1,9.53,7.76,5.76,25.75,4.92,116,4.25,5.61,5.76,3.98,7.75,10.46,6.08,73
L2,9.87,7.61,6.09,26.15,5.41,114,4.38,5.94,5.67,3.53,7.6,10.37,6.09,64
L3,10.16,7.92,6.22,26.9,5.58,113,4.33,5.8,5.8,3.85,8.2,10.44,6.76,61
L4,10.57,7.98,6.55,27.25,6.44,111,4.37,5.85,5.42,3.66,8.45,10.87,6.72,63
L5,10.95,7.93,6.8,28.5,6.72,113,4.15,5.73,5.37,4.71,9,10.39,7.04,64
L6,11.54,8.36,7.06,28.1,6.5,114,4.05,6.17,5.01,4.57,9,10.17,7.13,58
L7,11.96,8.52,7.2,27.8,6.99,113,3.78,6.43,4.95,4.19,8.7,10.58,7.49,58
L8,12.16,8.97,7.39,26.9,7.89,110,3.56,6.39,4.53,3.97,8.6,9.91,8.16,60
L9,12.4,9.05,7.62,25.6,8.42,108,3.38,7.24,3.6,2.97,6.9,8.85,8.64,62
L10,12.4,9.36,7.79,23.75,8.79,106,3.03,7.81,2.52,2.75,5.35,8.55,8.87,65
Ca1,12.09,9.24,7.97,21.95,8.78,105,2.63,7.5,1.97,2.22,5.2,7.77,9.34,72
Ca2,11.58,9.04,8.09,19.9,8.74,107,1.96,7.38,2.02,2.4,5.15,7.11,8.11,72
Ca3,11.05,8.9,8.44,15.65,8.29,108,1.76,7.31,1.73,2.34,4.6,6.41,8.8,78
Ca4,10.37,8.88,8.64,14.2,8.98,109,1.45,6.89,2.13,2.29,4.35,4.84,7.46,79
Ca5,9.89,8.68,9.06,11.2,NA,110,1.21,5.88,2.42,1.58,3.75,3.15,5.79,80
Ca6,9.33,8.32,9.06,8.8,7.04,112,1.18,6.21,1.96,1.3,2.7,1.74,4.61,72
Ca7,8.92,7.7,9.05,7.15,6.53,111,0.97,5.33,1.37,0.98,1.85,0.8,2.57,80
Ca8,8.26,6.97,8.78,5.05,6.76,110,0.68,4.95,1.9,1.11,1.4,0,0,NA
Ca9,7.63,6.74,8.51,2.95,5.98,109,0.62,4.41,1.28,1.05,1.05,0,0,NA
Ca10,6.08,6.74,7.68,1.45,3.7,102,0.5,3.61,0,0,NA,0,0,NA
Ca11,4.29,6.28,6.63,0,0,NA,0,0,0,0,NA,0,0,NA
Ca12,3.48,5.73,5.5,0,0,NA,0,0,0,0,NA,0,0,NA
Ca13,3.01,4.68,4.72,0,0,NA,0,0,0,0,NA,0,0,NA
