Phocoenoides_dalli_(USNM_504969),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
Ca23,1.73,4.35,4.49,6.24,1.79,92,0.73,1.06,0.42,0.54,1.8,1.33,0.91,65
Ca24,1.69,4.29,4.45,5.49,1.65,93,0.55,1,0.35,0.57,1.2,0.71,0.68,68
Ca25,1.69,4.18,4.36,4.47,1.38,95,0.59,1.04,0.4,0.48,0.75,0.41,0.57,75
Ca26,1.73,3.95,4.39,3.52,1.49,97,0.55,1.17,0.29,0.44,0.4,0,0,NA
Ca27,1.74,3.77,4.42,2.74,1.61,99,0.51,1.05,0,0,NA,0,0,NA
Ca28,1.78,3.57,4.41,1.94,1.47,99,0.43,1.05,0,0,NA,0,0,NA
Ca29,1.75,3.48,4.4,1.53,1.37,96,0.38,0.98,0,0,NA,0,0,NA
Ca30,1.74,3.36,4.32,0.98,1.36,98,0.36,1.02,0,0,NA,0,0,NA
Ca31,1.65,3.32,4.16,0.6,1.1,91,0.4,0.76,0,0,NA,0,0,NA
Ca32,1.55,3.28,3.7,0,0,NA,0.35,0.45,0,0,NA,0,0,NA
Ca33,1.44,3.29,3.6,0,0,NA,0,0,0,0,NA,0,0,NA
Ca34,1.27,3.29,3.33,0,0,NA,0,0,0,0,NA,0,0,NA
