Lissodelphis_borealis_(USNM_550026),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.35,3.78,3.01,3.27,0.95,120,2.27,1.25,0,0,NA,2.4,1.25,90
T2,1.7,3.51,3.02,4.18,1.1,125,2.37,1.52,0.54,0.47,2.1,2.35,1.31,87
T3,2.01,3.35,2.98,4.1,0.99,131,2.55,1.46,0.76,0.5,2.2,2.29,1.59,90
T4,2.38,3.16,2.77,4.44,1.16,130,2.59,1.3,1.18,0.58,2.5,2.39,1.68,93
T5,2.5,3.2,2.84,4.74,1.21,126,2.63,1.37,1.63,0.72,2.85,2.66,1.55,94
T6,2.54,3.24,2.9,5.21,1.35,129,2.55,1.29,1.54,0.83,3.1,2.92,1.47,93
T7,2.59,3.3,3.04,5.15,1.28,127,2.49,1.3,1.6,0.82,3.15,3.49,1.66,90
T8,2.61,3.38,3.09,5.48,1.48,126,2.41,1.39,1.77,0.92,3.35,3.7,1.75,88
T9,2.62,3.51,3.1,5.87,1.42,127,2.08,1.35,1.64,1.01,3.4,4.32,1.94,87
T10,2.56,3.64,3.12,5.82,1.43,127,2.13,1.46,1.65,1.18,3.25,4.94,1.97,90
T11,2.54,3.76,3.16,6.15,1.44,128,2.12,1.49,1.51,1.13,3.1,5.32,1.89,91
T12,2.51,3.78,3.39,6.35,1.41,128,2.05,1.41,1.39,1.01,3,5.72,2.12,93
T13,2.35,3.84,3.51,6.32,1.35,128,1.99,1.49,1.38,0.92,2.95,6.49,1.76,95
T14,2.31,3.85,3.5,6.53,1.48,125,2.08,1.34,1.47,0.86,3.1,7.68,1.59,101
T15,2.19,3.86,3.47,6.63,1.34,124,2.1,1.24,1.49,0.66,3.2,9.29,1.39,109
L1,2.08,3.9,3.55,6.82,1.2,119,2.06,1.11,1.61,0.74,3.35,9.28,1.27,102
L2,1.97,4,3.68,6.72,1.2,117,2.05,1.11,1.16,0.59,3.1,9.03,1.29,96
L3,1.91,4.02,3.78,6.91,1.07,116,1.95,1.03,1.07,0.66,3,8.85,1.33,93
L4,1.85,4.12,3.72,6.63,1.08,117,1.88,1,1.22,0.6,3.1,8.64,1.33,94
L5,1.76,4.17,4,6.55,1,119,1.79,0.98,0.93,0.65,2.7,8.43,1.3,93
L6,1.78,4.17,3.72,6.61,1.11,120,1.84,1.12,1.15,0.61,2.85,8.54,1.33,92
L7,1.68,4.17,3.88,6.58,1.08,120,1.75,0.98,1.11,0.56,2.7,8.3,1.25,93
L8,1.74,4.25,3.94,6.31,0.99,120,1.76,0.96,0.91,0.58,2.6,8.06,1.28,92
L9,1.68,4.21,4.03,6.38,0.92,121,1.58,1,1,0.54,2.6,7.8,1.26,93
L10,1.67,4.22,3.93,NA,NA,NA,1.69,0.88,0.85,0.65,2.7,7.63,1.22,95
L11,1.61,4.31,4.08,6.11,0.89,120,1.71,0.94,NA,NA,NA,7.29,1.22,96
L12,1.61,4.32,4.15,6.04,1,117,1.61,1.05,0.87,0.61,2.4,7.2,1.13,96
L13,1.62,4.21,4.26,5.74,1.06,114,1.71,1.06,0.9,0.65,2.45,6.99,1.13,95
L14,1.66,4.59,4.28,5.24,0.93,117,1.91,1.11,0.66,0.68,2.5,6.66,1.24,95
L15,1.51,4.32,4.14,5.09,1.04,118,1.93,0.89,0.6,0.68,2.45,6.31,1.08,96
L16,1.45,4.19,4.09,4.91,1.11,120,1.94,0.9,0.74,0.66,2.5,5.97,1,96
L17,1.5,4.19,4.18,4.85,1.04,120,1.89,0.96,0.8,0.57,2.45,5.64,0.99,98
L18,1.45,4.23,4.13,4.65,0.98,118,1.79,0.84,0.75,0.6,2.5,5.42,1,99
L19,1.39,4.22,4.15,4.43,0.94,120,1.74,0.77,0.64,0.56,2.35,5.2,0.92,95
L20,1.39,4.19,4.1,4.39,0.77,123,1.61,0.79,0.67,0.49,2.2,4.84,0.91,94
L21,1.29,4.24,4.09,4.24,0.75,126,1.48,0.68,0.61,0.4,2.2,4.6,0.88,91
L22,1.33,4.19,4.12,4,0.66,128,1.52,0.8,0.6,0.38,2.2,4.51,0.87,86
L23,1.33,4.19,4.1,3.93,0.78,129,1.51,0.74,0.8,0.44,2.2,4.22,0.89,83
L24,1.3,4.23,4.15,3.67,0.83,130,1.44,0.78,0.81,0.49,2.25,4.13,0.85,82
L25,1.33,4.25,4.15,3.49,0.87,127,1.38,0.82,0.84,0.44,2.15,4.04,0.94,80
L26,1.27,4.18,4.14,3.3,0.79,125,1.43,0.68,0.91,0.41,2.3,4.05,0.88,78
L27,1.25,4.19,4.16,3.18,0.76,122,1.33,0.84,0.95,0.49,2.3,3.82,0.79,75
L28,1.26,4.21,4.11,3,0.8,120,1.33,0.73,0.75,0.33,2.05,3.77,0.87,73
L29,1.19,4.19,4.1,3.12,0.78,119,1.26,0.78,0.96,0.3,2.2,3.65,0.82,70
L30,1.19,4.24,4.11,3.04,0.89,116,1.16,0.81,0.82,0.35,2.15,3.66,0.93,67
L31,1.22,4.33,4.05,NA,NA,NA,1.16,0.72,0.85,0.36,2.1,3.55,0.9,68
Ca1,1.23,4.33,3.93,2.96,0.78,114,1.13,0.7,0.66,0.24,2,3.37,0.89,67
Ca2,1.26,4.26,3.93,2.64,0.81,113,1.02,0.77,0.97,0.38,2.15,3.25,0.99,71
Ca3,1.29,4.32,3.91,2.43,0.9,113,1.06,0.74,0.68,0.31,2,3.01,1.01,73
Ca4,1.3,4.3,3.88,2.4,0.92,113,1.01,0.69,0.71,0.46,2.1,2.96,0.91,74
Ca5,1.33,4.37,3.93,2.34,0.79,113,0.91,0.8,0.7,0.38,2.05,2.73,1.16,75
Ca6,1.41,4.27,3.94,2,1.04,112,0.92,0.83,0.6,0.44,1.95,2.52,1.28,77
Ca7,1.43,4.31,4.08,2.03,0.84,111,0.84,0.73,0.61,0.29,2,2.39,1.34,80
Ca8,1.51,4.22,4.06,1.96,1.1,108,0.78,0.82,0.37,0.31,1.7,2.1,1.2,78
Ca9,1.56,4.32,4.01,1.91,1.05,107,0.72,0.84,0.58,0.33,1.7,1.73,1.3,82
Ca10,1.6,4.38,3.98,1.85,1.17,106,0.72,0.89,0.45,0.45,1.6,1.42,1.39,84
Ca11,1.69,4.27,3.91,1.69,1.12,109,0.6,0.9,0.4,0.46,1.2,1.08,1.2,88
Ca12,1.78,4.32,3.92,1.51,1.22,114,0.6,1.12,0.48,0.57,1.5,0.71,1.29,88
Ca13,1.85,4.27,4,1.46,1.22,113,0.53,1.2,0.5,0.45,1.1,0.39,0.78,87
Ca14,1.97,4.09,3.86,1.53,1.34,115,0.52,1.18,0.38,0.43,1,0.32,0.71,88
Ca15,2.07,3.87,3.92,1.46,1.04,114,0.48,1.29,0.37,0.29,0.85,0,0,NA
Ca16,2.17,3.58,3.87,1.16,1.32,118,0.35,1.44,0.43,0.29,0.7,0,0,NA
Ca17,2.24,3.23,3.91,1.18,1.53,125,0.32,1.57,0.38,0.28,0.6,0,0,NA
Ca18,2.34,3.04,3.81,0.86,1.45,128,0.3,1.67,0.38,0.29,0.5,0,0,NA
Ca19,2.35,2.84,3.73,0.71,1.45,128,0.21,1.59,0.25,0.26,0.3,0,0,NA
Ca20,2.29,2.72,3.53,0.45,1.46,125,0.16,1.59,0,0,NA,0,0,NA
Ca21,2.19,2.68,3.33,0.27,1.27,120,0.18,1.4,0,0,NA,0,0,NA
Ca22,2.07,2.6,3.1,0,0,NA,0.14,1.1,0,0,NA,0,0,NA
Ca23,1.91,2.55,3.05,0,0,NA,0,0,0,0,NA,0,0,NA
Ca24,1.62,2.57,2.82,0,0,NA,0,0,0,0,NA,0,0,NA
