Tursiops_truncatus_(USNM_572831),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.3,4.2,3.08,3.91,0.76,108,2.7,1.1,0,0,NA,2.03,1.27,75
T2,2.01,3.95,2.95,4.88,0.92,113,2.8,1.54,0,0,NA,2.28,1.45,83
T3,2.72,3.67,2.79,5.59,1.23,120,2.97,2.03,0.27,0.57,2.7,2.3,1.8,82
T4,3.21,3.33,2.86,5.79,1.48,126,3.2,1.92,0.48,0.58,3,2.45,1.84,92
T5,3.52,3.27,3.07,6.04,1.59,127,2.83,1.81,0.6,0.55,3.05,2.67,2.09,97
T6,3.71,3.39,3.21,6.51,1.62,127,2.83,1.73,0.66,0.71,3.3,2.91,2.22,101
T7,3.86,3.48,3.36,6.86,1.88,122,2.93,1.9,1.22,0.77,3.45,3.3,2.32,100
T8,3.97,3.53,3.42,7.13,2.1,120,3.04,2.06,1.51,0.96,3.45,4.02,2.4,104
T9,3.95,3.66,3.43,7.46,2.17,117,2.87,2.09,1.75,0.85,3.6,4.88,2.37,109
T10,3.92,3.73,3.43,8.11,2.3,117,2.78,2.2,1.96,0.68,3.7,6,2.41,110
T11,3.83,3.71,3.43,8.63,2.22,113,2.64,2.1,2.04,0.71,3.8,7.55,2.2,109
T12,3.79,3.78,3.49,9.06,2.25,106,2.74,2.13,1.82,0.54,3.8,8.57,2.2,106
L1,3.69,3.85,3.48,9.27,2.15,103,2.74,2.04,1.83,0.74,3.9,8.99,2.17,96
L2,3.61,4.07,3.51,9.58,2.12,100,2.57,1.91,1.52,0.67,3.95,8.96,2.2,94
L3,3.57,4.14,3.65,9.68,2.06,97,2.65,1.81,1.1,0.87,3.85,8.98,2.22,90
L4,3.52,4.24,3.75,9.93,2.18,97,2.7,1.9,1.21,0.71,3.9,8.65,2.41,88
L5,3.43,4.24,3.82,10.01,2.1,94,2.53,1.79,0.68,0.53,3.7,8.37,2.37,87
L6,3.44,4.33,3.86,10.34,2.13,91,2.5,1.83,0.43,0.68,3.7,8.16,2.23,87
L7,3.42,4.42,3.91,10.69,2.1,84,2.56,1.85,0.42,1.1,3.9,8.06,2.06,88
L8,3.39,4.5,3.98,10.63,2.17,82,2.48,1.9,0.42,0.49,3.9,8.06,2.08,87
L9,3.34,4.54,3.93,10.38,2.2,80,2.3,1.82,0.29,0.6,4,7.63,1.95,87
L10,3.32,4.55,4.16,10.26,2.1,78,2.35,1.75,0.28,0.33,4.15,7.26,1.83,83
L11,3.37,4.59,4.14,9.93,1.88,75,2.36,1.82,0.19,0.23,4.15,6.95,1.77,81
L12,3.34,4.55,4.18,9.72,1.91,75,2.58,1.78,0.21,0.27,4.45,6.67,1.87,82
L13,3.35,4.59,4.3,9.42,2.01,73,2.54,1.83,0.33,0.36,4.7,6.33,1.84,80
L14,3.4,4.57,4.42,9.07,2.33,72,2.37,1.92,0.29,0.39,4.75,6.1,1.87,77
Ca1,3.37,4.57,4.47,8.45,2.11,70,2.34,1.81,0.27,0.44,4.8,5.76,1.85,75
Ca2,3.37,4.54,4.46,8.27,2.4,67,2.32,2.02,0.41,0.49,5,5.48,1.76,73
Ca3,3.42,4.58,4.53,8.11,2.4,63,2.09,1.97,0.48,0.52,4.7,5.19,1.8,71
Ca4,3.44,4.57,4.63,7.59,2.31,66,1.89,1.95,0.63,0.73,4.8,5.28,1.82,68
Ca5,3.44,4.61,4.68,7.25,2.59,69,1.73,2.04,0.64,0.64,4.55,5.26,2.28,69
Ca6,3.54,4.57,4.73,6.78,2.59,77,1.52,2.14,0.68,0.7,4.15,4.81,2.19,70
Ca7,3.64,4.72,4.87,6.39,2.78,81,1.33,2.28,0.78,0.69,3.95,4.93,2.36,68
Ca8,3.71,4.89,5.12,5.74,3.08,91,1.06,2.24,0.61,0.64,3.85,4.07,2.48,67
Ca9,3.86,4.7,5.14,5.72,2.84,97,1.09,1.82,0.61,0.57,3.5,3.3,2.11,68
Ca10,4.07,4.65,5.18,5.31,3.13,100,0.91,1.94,0.47,0.51,2.8,2.87,1.7,75
Ca11,4.13,4.42,5.06,4.74,3.08,102,0.85,1.93,0.44,0.64,2.55,1.47,1.5,79
Ca12,4.15,4.55,5.06,4.17,3.07,106,0.69,2.35,0.52,0.65,2,0.76,1.38,79
Ca13,4.18,4.36,5.41,3.28,2.97,108,0.63,2.47,0.51,0.4,1.6,0.43,1.29,80
Ca14,4.1,4.06,5.19,2.41,2.62,111,0.53,2.58,0.6,0.57,1.15,0,0,NA
Ca15,4.07,3.71,4.96,1.39,2.45,109,0.35,2.82,0.44,0.45,0.55,0,0,NA
Ca16,3.77,3.63,4.57,0.44,2.05,105,0.28,2.05,0.26,0.27,0.3,0,0,NA
Ca17,3.2,3.73,3.92,0,0,NA,0.23,1.35,0,0,NA,0,0,NA
