Stenella_frontalis_(USNM_21915),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.07,3.41,2.95,3.1,0.56,130,2.43,0.9,0,0,NA,2.07,0.98,82
T2,1.57,3.32,2.84,3.72,0.86,129,2.43,1.25,0,0,NA,2.24,1.11,88
T3,1.98,3.11,2.85,4.34,1,128,2.37,1.41,0,0,NA,2.25,1.22,92
T4,2.23,3.03,2.81,4.73,1.1,127,2.47,1.26,0.43,0.39,2.2,1.83,1.32,98
T5,2.38,2.95,2.81,5.05,1.18,127,2.6,0.9,0.8,0.56,2.6,2.24,1.42,103
T6,2.66,3.09,2.96,5.21,1.2,130,2.48,0.94,1.25,0.74,2.8,2.15,1.5,106
T7,2.74,3.11,3.03,5.68,1.28,125,2.37,1.05,1.32,0.81,2.95,2.62,1.57,104
T8,2.91,3.1,3.12,6.13,1.19,125,2.24,1.21,1.54,0.89,3.15,3.09,1.6,102
T9,2.95,3.21,3.09,6.58,1.3,121,2.36,1.65,1.34,0.81,3.3,3.31,1.57,98
T10,2.93,3.23,3.07,6.87,1.44,115,2.27,1.57,1.57,0.99,3.55,4.35,1.53,99
T11,2.94,3.3,3.04,7.04,1.58,115,2.39,1.66,1.78,0.98,3.85,4.91,1.55,98
T12,2.86,3.38,3.13,7.1,1.56,113,2.26,1.5,1.86,0.82,4.05,5.89,1.62,99
T13,2.82,3.31,3.14,7.33,1.76,106,2.5,1.65,2,0.79,4.4,7.03,1.61,103
T14,2.83,3.4,3.17,7.61,1.71,98,2.61,1.69,1.55,0.67,4.4,8.43,1.43,106
L1,2.74,3.38,3.2,8.05,1.55,102,2.55,1.63,1.62,1.58,4.45,8.11,1.38,96
L2,2.66,3.54,3.28,8.25,1.49,94,2.65,1.6,1.75,0.65,4.6,8.05,1.33,94
L3,2.63,3.47,3.4,8.38,1.43,91,2.62,1.57,1.56,0.6,4.7,8.13,1.36,93
L4,2.56,3.52,3.45,8.24,1.4,91,2.68,1.41,1.38,0.59,4.5,7.88,1.32,93
L5,2.51,3.5,3.48,8.27,1.34,92,2.59,1.52,1.21,0.53,4.25,7.69,1.39,97
L6,2.46,3.59,3.56,8.41,1.35,90,2.54,1.43,1.76,0.67,4.5,7.66,1.32,96
L7,2.36,3.57,3.67,8.37,1.41,84,2.57,1.22,1.15,0.6,4.3,7.32,1.3,90
L8,2.42,3.65,3.62,8.52,1.41,84,2.47,1.48,1.09,0.53,4.35,6.95,1.35,90
L9,2.39,3.62,3.62,8.41,1.39,82,2.36,1.54,0.73,0.5,4.15,6.8,1.28,89
L10,2.29,3.7,3.65,8.37,1.41,81,2.49,1.35,0,0,NA,6.99,1.26,90
L11,2.38,3.7,3.61,8.47,1.42,80,2.38,1.34,0,0,NA,6.87,1.26,88
L12,2.37,3.71,3.62,8.36,1.34,80,2.34,1.42,0,0,NA,6.67,1.2,85
L13,2.35,3.64,3.69,8.14,1.29,77,2.44,1.25,0,0,NA,6.6,1.33,84
L14,2.36,3.66,3.72,7.94,1.53,78,2.29,1.35,0,0,NA,6.33,1.11,84
L15,2.37,3.67,3.8,7.6,1.47,78,2.32,1.31,0,0,NA,5.97,1.17,85
L16,2.44,3.74,3.82,7.6,1.43,78,2.14,1.37,0,0,NA,NA,1.19,84
Ca1,2.38,3.81,3.85,7.73,1.49,76,1.92,1.32,0,0,NA,5.79,1.14,76
Ca2,2.44,3.73,4.05,7.73,1.34,74,1.88,1.48,0.29,0.26,4.2,5.64,1.19,77
Ca3,2.49,3.77,4.07,7.64,1.4,70,1.79,1.45,0.91,0.49,5.55,5.53,1.42,72
Ca4,2.49,3.92,3.97,7.29,1.32,70,1.8,1.55,1.16,0.46,5.5,5.29,1.61,68
