Feresa_attenuata_(PEM_N4763),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.3,3.85,3.05,1.7,0.94,110,2.66,0.98,0,0,NA,2.2,1.29,108
T2,1.82,3.5,2.85,2.86,1.06,116,2.96,1.21,0,0,NA,2.58,1.37,104
T3,2.36,3.5,2.72,3.01,1.22,125,3.2,1.57,0,0,NA,2.5,1.55,100
T4,2.71,3.51,2.74,3.29,1.26,125,3.34,1.29,0.56,0.49,2.2,2.59,1.74,90
T5,2.77,3.57,2.88,3.33,1.12,123,3.28,1.25,0.68,0.53,2.6,2.77,1.79,92
T6,2.91,3.44,3.07,3.03,1.26,125,3,1.28,0.95,0.55,2.6,3.14,1.84,95
T7,2.97,3.45,3.12,3.9,1.56,124,3.09,1.49,0.24,0.68,2.7,3.12,1.89,100
T8,3.08,3.48,3.16,4.38,1.57,122,2.97,1.54,1.38,0.79,3.2,3.22,1.8,101
T9,3.31,3.45,3.25,4.74,1.68,125,2.84,1.67,1.19,0.83,3.45,4.02,1.71,105
T10,3.07,3.44,3.32,5.09,1.69,125,2.9,1.69,1.2,0.82,3.55,4.53,1.84,102
T11,3.06,3.68,3.16,5.12,1.81,124,2.71,1.81,1.2,0.85,3.65,5.84,2.33,104
T12,2.98,3.61,3.23,5.46,1.79,124,2.74,1.81,1.4,0.81,3.6,6.84,1.95,102
L1,2.86,3.55,3.3,6.06,1.84,123,2.71,1.79,1.26,0.87,3.5,6.96,1.95,98
L2,3.1,3.52,3.29,6.2,1.74,118,2.46,1.67,1.14,0.81,3.65,6.91,1.84,102
L3,2.82,3.51,3.5,6.62,1.8,110,2.72,1.78,0.76,0.65,3.4,6.81,1.78,96
L4,2.83,3.6,3.59,7.01,1.66,108,2.5,1.66,0.61,0.92,3.3,6.85,1.78,90
L5,2.75,3.67,3.61,7.56,1.79,102,2.33,1.59,0.67,0.81,3.4,6.89,1.71,90
L6,2.5,3.68,3.73,7.59,1.65,98,2.41,1.62,0.47,0.66,3.6,6.8,1.74,90
L7,2.66,3.6,3.67,7.68,1.63,99,2.51,1.57,0.39,0.7,3.5,6.49,1.62,90
L8,2.8,3.73,3.7,7.38,1.54,98,2.57,1.58,0.35,0.53,3.5,6.7,1.63,90
L9,2.91,3.72,3.72,7.48,1.6,96,2.28,1.49,0,0,NA,6.46,1.68,90
L10,2.67,3.83,3.8,7.55,1.53,92,2.61,1.5,0,0,NA,6.5,1.68,90
L11,2.74,3.79,3.71,7.56,1.54,90,2.77,1.53,0,0,NA,6.22,1.47,89
L12,2.91,3.88,3.82,7.23,1.59,85,2.64,1.46,0,0,NA,5.97,1.42,88
L13,2.65,3.87,3.91,7.2,1.49,84,2.81,1.41,0,0,NA,5.86,1.46,89
L14,2.57,4.01,3.86,7.22,1.58,76,2.45,1.38,0,0,NA,5.7,1.39,88
L15,2.59,3.88,4.04,7.12,1.6,75,2.51,1.33,0,0,NA,5.65,1.42,86
L16,2.73,2.85,3.98,6.87,1.42,77,2.68,1.37,0,0,NA,5.51,1.48,88
Ca1,2.73,3.91,3.88,6.73,1.51,76,2.61,1.43,0,0,NA,5.5,1.43,87
Ca2,2.71,3.9,3.05,6.25,1.85,76,2.6,1.4,0,0,NA,5.12,1.33,85
Ca3,2.68,3.9,4,6.16,1.74,76,2.43,1.49,0,0,NA,5,1.32,85
Ca4,2.81,3.98,4.2,5.59,1.78,75,2.48,1.52,0,0,NA,4.72,1.31,83
Ca5,2.78,3.99,4.03,5.64,1.79,75,2.31,1.52,0.34,0.28,4.4,4.4,1.33,80
Ca6,2.73,3.97,4.06,5.34,1.85,73,2.29,1.5,0.24,0.29,4.5,3.99,1.46,79
Ca7,2.69,3.98,4.07,5.04,1.91,74,2.1,1.5,0.35,0.4,4.35,3.62,1.6,80
Ca8,2.69,3.94,4.1,4.51,1.79,75,2.02,1.5,0.3,0.33,4.3,3.33,1.8,82
Ca9,2.7,3.9,4.09,4.43,1.88,77,1.73,1.5,0.31,0.31,4.2,3.07,1.47,85
Ca10,2.73,4.03,4.13,4.24,1.6,75,1.65,1.56,0.26,0.36,3.8,2.71,1.39,86
Ca11,2.72,4.06,4.01,3.88,1.75,76,1.47,1.57,0.31,0.37,3.5,2.44,1.31,86
Ca12,2.77,4.05,4,3.5,1.67,78,1.31,1.54,0.36,0.36,3.3,1.9,1.63,87
Ca13,2.74,3.99,4,3.37,1.69,81,1.1,1.45,0.44,0.46,2.9,1.75,1.37,90
Ca14,2.79,4.07,4.04,3.2,1.51,82,1.04,1.43,0.35,0.47,2.6,1.44,1.31,90
Ca15,2.82,4.06,4.02,2.84,1.79,90,1.02,1.48,0.53,0.71,2.65,1.3,1.14,95
Ca16,2.91,4,3.94,2.53,1.77,93,1.03,1.59,0.51,0.68,2.5,1.2,1.25,94
Ca17,3,3.87,3.92,2.68,1.86,95,0.82,1.61,0.69,0.88,2.3,0.95,1.2,90
Ca18,3.1,3.79,3.97,2.32,1.83,108,0.71,1.59,0.89,0.88,2,0.68,1.19,90
Ca19,3.15,3.62,4.06,1.86,1.84,113,0.63,1.76,0.85,0.72,1.7,0,0,NA
Ca20,3.22,3.39,4.21,1.44,1.82,110,0.62,1.76,0.84,0.8,1.4,0,0,NA
Ca21,3.26,3.24,3.17,1,1.43,100,0.58,1.86,0.73,0.47,1,0,0,NA
Ca22,3.23,3.1,3.06,0.75,1.39,90,0.5,1.29,0.54,0.46,0.75,0,0,NA
Ca23,3,3.1,3.71,0,0,NA,0.37,1.63,0,0,NA,0,0,NA
Ca24,2.43,3.13,3.14,0,0,NA,0.38,1.44,0,0,NA,0,0,NA
