Neophocaena_phocaenoides_(SMNS_45680),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.1,2.51,1.89,1.06,0.45,130,1.9,0.78,0,0,NA,1.64,0.89,72
T2,1.48,2.1,1.8,1.82,0.63,115,1.7,1.17,0,0,NA,1.55,1.06,70
T3,1.67,2.1,1.81,1.89,1,113,1.7,1.48,0,0,NA,1.67,1.26,75
T4,1.92,2.3,1.84,1.85,1.22,105,1.8,1.78,0,0,NA,1.74,1.3,80
T5,2.08,2.31,1.81,1.83,1.39,106,1.9,1.8,0.74,0.54,2.3,1.6,1.3,80
T6,2.09,2.37,1.98,1.95,1.36,106,1.9,1.77,0.89,0.52,2.2,1.47,1.46,80
T7,2.1,2.35,1.91,2.22,1.54,104,1.9,2.11,1.3,0.49,2.3,1.67,1.52,85
T8,2.3,2.4,2.07,2.54,1.5,106,1.85,1.55,1.31,0.54,2.1,1.88,1.47,90
T9,2.3,2.52,2.07,2.83,1.62,112,1.8,1.58,1.39,0.57,1.95,1.98,1.36,97
T10,2.36,2.63,2.15,2.81,1.77,110,1.65,1.61,1.82,0.56,1.8,2.04,1.14,100
T11,2.35,2.73,2.1,3.15,1.71,111,1.4,1.25,2.03,1.01,1.6,2.06,1.17,105
T12,2.27,2.73,2.23,3.11,1.71,115,1.39,1.13,2.1,0.83,2.1,3.66,1.25,105
T13,2.26,2.73,2.3,3.07,1.53,120,1.37,1.41,2.02,0.84,2.4,5.26,1.49,98
L1,2.27,2.77,2.24,2.94,1.67,125,1.3,1.36,1.89,0.8,2.5,5.64,1.66,92
L2,2.31,2.76,2.32,2.96,1.55,125,1.37,1.29,1.56,0.84,2.4,5.84,1.69,88
L3,2.28,2.74,2.37,3.55,1.57,127,1.31,1.39,1.52,0.89,2.4,5.87,1.75,87
L4,2.3,2.85,2.42,3.51,1.6,125,1.23,1.44,1.51,0.8,2.3,5.72,1.93,83
L5,2.2,2.82,2.38,3.41,1.44,123,1.27,1.34,1.76,0.86,2.35,5.56,1.82,80
L6,2.3,2.99,2.43,3.36,1.45,123,1.28,1.44,1.7,0.81,2.35,5.58,2.02,80
L7,2.18,2.93,2.57,3.06,1.59,123,1.3,1.46,1.78,0.85,2.3,5.5,1.88,82
L8,2.35,2.89,2.6,2.95,1.47,NA,1.36,1.34,1.67,0.87,2.2,4.88,1.81,83
L9,2.34,3,2.6,2.96,1.53,115,1.35,1.34,1.55,0.91,2.4,4.97,1.65,78
L10,1.94,2.97,2.7,2.93,1.71,112,1.26,1.3,1.3,0.83,2.25,4.62,1.4,78
L11,2,2.99,2.66,2.79,1.6,108,1.29,1.34,1.41,0.83,2.3,4.24,1.48,82
Ca1,2.07,2.93,2.78,2.42,1.6,104,1.17,1.3,1.45,0.81,2.3,3.98,1.37,85
Ca2,2.16,2.97,2.57,2.3,1.46,100,1.18,1.3,1.41,0.74,2.25,3.49,1.35,86
Ca3,2.07,2.91,2.52,2.46,1.42,98,1.2,1.36,1.2,0.79,2.2,3.41,1.51,87
Ca4,2.12,2.8,2.64,2.41,1.44,95,1.19,1.27,1.17,0.72,2.2,2.98,1.44,85
Ca5,2.11,2.73,2.73,2.39,1.46,92,1.16,1.29,1.04,0.65,2.15,2.85,1.64,85
Ca6,2.04,2.93,2.6,2.48,1.27,90,0.97,1.09,0.9,0.69,2,2.82,1.64,85
Ca7,2.06,2.69,2.66,2.7,1.37,90,0.79,1.22,0.9,0.78,1.95,2.24,1.52,80
Ca8,2,2.66,2.65,2.42,1.29,90,0.57,1.14,0.94,0.69,1.75,2.24,1.29,75
Ca9,1.91,2.75,2.66,2.1,1.47,94,0.48,1.14,1,0.56,1.5,1.94,1.06,70
Ca10,1.9,2.67,2.69,1.6,1.47,94,0.46,1.2,1.05,0.41,1.2,1.27,0.82,65
Ca11,1.78,2.63,2.62,1.34,1.47,95,0.37,1.26,0.92,0.44,1.1,0.54,0.59,60
Ca12,1.76,2.7,2.62,1.21,1.31,100,0.32,1.21,0.88,0.32,0.8,0.35,0.56,60
Ca13,1.77,2.51,2.59,0.93,1.29,100,0.26,1.25,0.8,0.3,0.6,0,0,NA
Ca14,1.73,2.54,2.63,NA,1.35,NA,0.25,1.17,0.71,0.28,0.5,0,0,NA
Ca15,1.77,2.43,2.58,NA,1.45,NA,0.25,1.15,0.63,0.28,0.45,0,0,NA
Ca16,1.7,2.39,2.4,0.47,1.49,95,0.25,1.06,0.56,0.21,0.3,0,0,NA
Ca17,1.58,2.35,2.36,0,0,NA,0.3,0.82,0.66,0.15,0.2,0,0,NA
Ca18,1.36,2.46,2.43,0,0,NA,0,0,0,0,NA,0,0,NA
