Tursiops_truncatus_(USNM_550225),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.54,4.69,3.47,3.36,0.94,125,3.32,1.31,0,0,NA,2.3,1.36,83
T2,2.25,4.09,3.32,4.59,0.91,122,3.26,1.82,0,0,NA,2.24,1.51,90
T3,2.7,3.77,3.29,5.01,1.09,122,3.36,2.23,0.51,0.74,3.2,2.49,1.93,95
T4,3.21,3.43,3.4,5.52,1.38,120,3.27,2.16,0.72,0.75,3.15,2.2,2.03,100
T5,3.61,3.45,NA,5.47,1.7,119,3.21,1.8,0.85,0.77,3.5,2.37,2.45,104
T6,3.74,3.59,3.66,5.98,1.97,117,3.11,1.95,1.06,0.73,3.2,3.03,2.57,106
T7,3.89,3.68,3.78,6.33,1.95,123,3.24,2.41,1.78,0.95,3.2,3.45,2.78,105
T8,4.04,3.78,3.78,6.94,2.12,122,3.24,2.72,2.01,1.2,3.5,3.68,2.67,104
T9,4.03,3.89,3.76,7.24,2.07,123,3.01,2.46,1.99,1.03,3.7,4.4,2.64,104
T10,4.07,4.08,3.8,7.2,2.37,118,2.99,2.68,1.86,0.94,3.75,5.76,2.66,110
T11,3.91,4.08,3.88,7.96,2.34,118,2.89,2.37,2.01,0.83,3.85,7.07,2.58,108
T12,3.92,4.01,3.91,8.09,2.26,119,3,2.35,2.02,1.06,3.8,9.1,2.25,106
L1,3.82,4.18,3.81,8.62,2.21,112,2.99,2.59,2.13,0.87,4.15,9.65,2.42,107
L2,3.72,4.31,3.86,9.03,2.38,106,3.11,2.28,1.87,0.89,4.25,9.71,2.41,101
L3,3.66,4.43,3.94,9.5,2.25,103,3.12,2.19,1.71,0.85,4.4,9.51,2.43,100
L4,3.69,4.51,3.87,9.51,2.25,102,3.12,2.24,2.02,0.86,4.55,9.83,2.58,97
L5,3.63,4.42,4.19,9.95,2.35,103,2.76,2.27,1.29,1.01,4.4,9.42,2.46,97
L6,3.64,4.2,4.34,10.15,2.41,98,2.79,2.28,1.37,1.04,4.6,9.48,2.43,95
L7,3.59,4.62,4.29,10.03,2.4,92,2.81,2.33,1.07,1.08,4.35,8.7,2.4,89
L8,3.58,4.79,4.27,10.32,2.55,88,2.85,2.28,0.29,0.9,4.25,8.83,2.33,88
L9,3.52,4.94,4.38,10.22,2.31,92,2.87,2.35,0.29,0.82,4.6,8.34,2.4,88
L10,3.54,4.91,4.31,10.05,2.32,75,2.88,2.25,0.39,0.73,4.85,7.82,2.27,85
L11,3.56,5.03,4.31,9.63,2.17,73,2.96,2.11,0.48,0.83,4.8,7.63,2.31,83
L12,3.51,5.11,4.43,8.87,1.96,74,2.92,2.22,0.51,0.69,5,7.23,2.32,80
L13,3.54,5.1,4.5,8.51,2.06,74,2.91,2.03,0.54,0.81,5,6.86,2.42,76
L14,3.62,5.02,4.68,7.99,2.08,73,2.65,2.08,0.8,0.64,5.25,6.56,2.45,75
Ca1,3.67,5.15,4.76,7.59,1.99,73,2.76,2.24,0.94,0.55,5.25,6.42,2.4,78
Ca2,3.69,5.23,4.78,7.15,2.16,70,2.65,2.22,0.86,0.48,5.25,6.2,2.17,78
Ca3,3.69,5.18,4.96,7.15,2.49,75,2.44,2.35,0.79,0.66,5.1,6.22,2.24,76
Ca4,3.72,5.11,4.99,6.92,2.57,77,2.27,2.44,0.95,0.83,5,5.93,2.33,73
Ca5,3.82,5.1,5.14,6.49,2.76,81,2.13,2.35,1.15,0.75,4.9,5.54,2.58,75
Ca6,3.88,5.04,5.1,6.22,2.75,95,1.88,2.44,1.17,0.89,4.6,5.5,2.54,74
Ca7,3.94,5.03,5.31,5.93,2.49,97,1.6,2.23,1.14,0.86,4.1,4.97,2.76,70
Ca8,4.02,5.07,5.46,5.71,2.95,98,1.37,2.28,1.25,0.83,4.1,4.47,2.92,69
Ca9,4.2,5.04,5.45,5.47,2.82,101,1.1,2.17,1.06,0.7,3.6,3.66,2.55,70
Ca10,4.27,4.93,5.48,5.27,3,105,1.01,2.3,0.95,0.72,3.15,2.94,2.33,70
Ca11,4.41,4.84,5.38,4.86,2.94,109,0.83,2.42,0.81,0.73,2.7,1.81,2.38,69
Ca12,4.41,4.71,5.32,4.36,2.77,110,0.81,2.6,0.83,0.68,2.15,0.97,2.25,73
Ca13,4.46,4.57,5.32,3.4,2.86,109,0.7,2.6,0.54,0.53,2,0.55,1.51,70
Ca14,4.42,4.25,5.24,2.44,2.6,114,0.61,2.92,0.73,0.55,1.25,0,0,NA
Ca15,4.36,4.02,5.26,1.48,2.48,109,0.54,2.77,0.69,0.47,0.6,0,0,NA
Ca16,4.05,3.71,4.87,0.58,2.05,107,0.38,2.46,0.45,0.33,0.25,0,0,NA
Ca17,3.61,3.67,4.21,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,2.71,3.72,3.67,0,0,NA,0,0,0,0,NA,0,0,NA
