Ziphius_cavirostris_(USNM_49599),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,4.71,8.32,6.63,15.3,3.46,106,6.83,3.87,0,0,NA,4.45,3.05,63
T2,6.04,7.93,5.96,20.15,5.02,108,7.09,4.87,0,0,NA,4.61,3.75,66
T3,7.11,7.98,5.92,22.5,5.36,109,6.74,4.34,1.14,1.32,5.95,4.28,4.36,73
T4,7.96,7.84,6.35,22.6,5.55,111,6.57,4.92,1.59,1.43,6.2,3.79,4.08,82
T5,8.6,8.05,6.76,24,5.97,113,5.78,4.75,1.92,1.27,6.15,3.71,4.48,90
T6,9.43,8.25,6.88,25.8,6.71,116,5.75,4.57,3.41,2.41,7.2,3.76,3.71,96
T7,10.41,9,7.16,27.4,7.09,117,5.54,6.28,5.39,4.54,8.7,0,0,NA
T8,11.15,9.87,7.53,27.95,7.45,117,5.62,6.1,7.44,5.45,9.05,8.96,7.27,102
T9,11.91,9.96,7.93,28.7,7.31,112,5.59,6.23,8.14,5.4,9.15,14.37,8.1,94
L1,12.44,10.2,8.58,29.7,7.88,109,5.63,6.49,7.47,5.43,8.75,15.01,6.64,89
L2,12.76,10.44,8.9,30.4,7.76,109,5.78,6.86,6.9,5.28,8.5,14.72,6.18,77
L3,13.06,10.18,9.17,30.85,8.17,107,5.76,6.9,6.25,5.78,8.9,14.46,6.56,66
L4,13.38,10.59,9.46,32.1,8.13,106,5.45,6.78,6.57,5.56,9.15,14.56,6.17,61
L5,13.81,10.47,9.83,32,8.59,107,5.33,7.19,6.43,5.95,10,14.01,6.41,62
L6,14.39,10.75,10.35,33.65,8.41,108,5.04,7.62,5.79,5.85,9.7,13.93,6.47,60
L7,14.86,11.24,10.36,33.25,9.1,110,4.8,7.91,5.59,5.76,9.5,13.22,6.91,58
L8,15.6,11.65,10.66,32.9,9.21,113,4.86,8.27,4.63,6.04,8.9,12.37,6.97,60
L9,15.7,12.02,10.94,32,9.86,117,4.74,8.6,4.11,5.64,8.5,11.83,7.14,65
L10,16.3,12.39,11.06,31.25,9.55,116,4.84,9.27,4.04,5.83,8.4,10.55,8.28,71
Ca1,16.65,12.62,11.87,30.05,9.4,113,4.81,9.52,3.25,5.71,8.2,9.71,9.45,74
Ca2,16.15,13.05,11.8,29.7,9.68,112,4.36,9.49,2.83,4.77,7.5,9.53,9.92,73
Ca3,15.6,13,12.15,28,10.01,110,3.54,9.64,3.06,5.15,6.6,8.29,9.92,71
Ca4,15.17,12.68,12.56,25.35,10.2,111,3.21,9.51,2.68,4.29,5.5,6.97,9.35,67
Ca5,14.36,12.69,12.41,21.65,10.42,115,2.75,9.01,2.47,3.6,4.8,6.34,7.94,71
Ca6,13.95,12.75,12.9,17.8,10.01,117,2.18,7.97,2.09,2.65,5.3,5.08,7.69,78
Ca7,13.52,12.68,12.8,14.4,8.75,118,2.35,7.47,2.25,1.62,4.75,3.66,6.62,78
Ca8,13.19,11.72,12.59,10.9,7.96,119,2.33,6.6,2.02,1.58,3.55,1.79,3.69,74
Ca9,12.28,10.65,12.48,6.7,7.56,117,2.15,6.46,2.29,1.44,2.7,0,0,NA
Ca10,11.16,10.03,11.97,4.1,8.14,114,1.28,5.7,2.01,1.35,1.75,0,0,NA
Ca11,9.14,9.72,11.03,1.95,5.73,108,0.88,4.69,1.69,1.25,1.3,0,0,NA
Ca12,6.79,9.22,9.47,0,0,NA,0.74,1.49,1.17,0.92,0.5,0,0,NA
