Peponocephala_electra_(USNM_593799),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.14,4.01,3.09,1.06,0.55,102,2.6,0.99,0,0,NA,2.08,0.84,82
T2,1.68,3.81,3.17,2.73,0.8,123,3.07,1.22,0,0,NA,2.33,1.1,83
T3,2.15,3.53,3.01,2.94,0.9,124,3.28,1.49,0,0,NA,2.7,1.36,87
T4,2.66,3.58,3.03,2.92,0.94,133,3.28,0.84,0,0,NA,2.75,1.64,93
T5,2.99,3.66,3.05,2.87,1.15,128,3.51,0.95,0.77,0.66,3,3.27,1.76,94
T6,3.18,3.58,3.12,3.03,1.33,123,3.63,1.04,0.89,0.63,3.3,3.22,1.68,97
T7,3.36,3.45,3.28,3.13,1.4,123,3.46,1.24,1.02,0.65,3.25,2.76,1.5,98
T8,3.54,3.5,3.28,3.08,1.29,121,3.55,1.48,1.15,0.65,3.4,3.56,1.88,102
T9,3.58,3.57,3.32,3.74,1.46,117,3.56,1.57,1.24,0.68,3.5,3.91,1.61,107
T10,3.62,3.62,3.35,4.32,1.49,120,3.2,1.57,1.23,0.82,3.8,4.53,1.52,104
T11,3.71,3.69,3.36,4.72,1.59,122,2.86,1.66,1.61,0.82,3.7,4.89,1.78,100
T12,3.66,3.7,3.38,4.73,1.43,128,2.92,1.6,1.39,0.96,3.75,5.89,2.05,103
T13,3.7,3.6,3.42,5.18,1.53,124,3.04,1.54,1.43,0.91,3.7,7.25,1.99,108
T14,3.64,3.65,3.43,5.35,1.58,120,3.1,1.59,1.48,0.73,3.75,7.71,1.83,104
L1,3.5,3.67,3.46,6.26,1.8,114,3.08,1.64,1.32,0.71,3.6,7.76,1.53,94
L2,3.51,3.66,3.53,6.77,1.98,107,3.21,1.56,1.04,0.58,3.6,7.38,1.75,86
L3,3.42,3.67,3.62,7.53,1.78,100,3.21,1.53,1.23,0.66,3.95,7.25,1.77,84
L4,3.36,3.69,3.66,7.69,1.69,99,3.14,1.48,1.04,0.83,3.9,7.07,1.86,83
L5,3.26,3.62,3.71,7.65,1.65,96,3.05,1.44,1.01,0.68,4.1,7,1.83,82
L6,3.21,3.64,3.72,7.83,1.47,95,3.05,1.4,1.17,0.83,4.2,6.87,1.75,82
L7,3.15,3.73,3.63,7.7,1.46,93,3.12,1.39,1.09,0.8,4.3,6.43,1.68,82
L8,3.06,3.77,3.76,7.81,1.51,90,2.9,1.46,0.95,0.8,4.2,6.18,1.52,82
L9,2.98,3.88,3.73,7.62,1.26,87,2.99,1.25,0.54,0.52,3.75,6.03,1.55,84
L10,2.93,3.95,3.63,7.37,1.23,82,3.05,1.25,0.52,0.62,3.55,5.9,1.58,85
L11,2.9,4.01,3.66,7.41,1.27,78,3.15,1.27,0.4,0.72,4,5.86,1.56,88
L12,2.78,4,3.69,7.45,1.27,73,3.1,1.24,0.36,0.46,4.15,5.64,1.44,88
L13,2.68,3.99,3.76,6.89,1.26,68,3.19,1.14,0.34,0.45,4.3,5.9,1.37,86
L14,2.59,3.97,3.83,6.37,1.35,66,3.22,1.06,0.35,0.33,4.35,5.86,1.28,87
L15,2.42,3.95,3.92,6,1.13,65,3.18,0.98,0.33,0.31,4.5,5.69,1.27,87
Ca1,2.51,3.97,4.08,5.7,0.92,65,3.03,1.17,0.28,0.27,4.25,5.44,1.29,84
Ca2,2.53,4,4.15,5.24,1.05,64,3.12,1.06,0.4,0.41,4.55,5.4,1.18,82
Ca3,2.36,3.95,4.16,4.67,1.08,66,3.32,0.97,0.55,0.45,4.75,5.04,1.17,78
Ca4,2.2,4.05,4.28,4.5,0.9,67,3.11,1.07,0.79,0.41,4.7,5.03,1.03,78
Ca5,2.15,4.01,4.26,4.73,0.98,66,2.92,1.07,0.57,0.49,4.7,4.95,1.16,78
Ca6,2.12,3.98,4.23,4.12,1.05,59,3.19,0.93,0.73,0.46,4.85,4.74,1.09,77
Ca7,2.09,4.02,4.14,4.54,0.96,58,2.61,1.17,0.64,0.41,4.65,4.51,1.11,77
Ca8,2.06,3.99,4.06,3.92,1.04,54,2.62,0.9,0.75,0.37,4.6,4.44,1.14,78
Ca9,2.07,3.97,4.09,3.96,0.87,52,2.67,0.99,0.93,0.48,4.9,4.25,1.27,80
Ca10,1.99,4.04,4.05,3.76,0.92,51,2.61,1.12,0.92,0.52,4.9,3.96,1.14,82
Ca11,2,4.11,3.9,3.81,0.93,50,2.41,0.9,0.81,0.43,4.7,3.88,1.39,80
Ca12,1.94,4.03,3.92,3.74,0.87,48,2.05,0.99,0.83,0.54,4.55,3.55,1.19,78
Ca13,1.99,4.02,3.91,3.87,1.06,52,1.96,1.14,0.98,0.54,4.5,3.37,1.2,77
Ca14,2.06,3.97,3.94,3.68,1.01,53,1.82,1.16,0.9,0.42,4.05,3.09,1.2,75
Ca15,2.03,3.97,4.02,3.07,1.01,57,1.88,1.03,0.76,0.55,3.9,2.99,1.3,72
Ca16,1.96,3.97,3.97,3.15,1.02,56,1.61,1.05,0.65,0.46,3.45,2.8,1.3,70
Ca17,1.99,4.03,4.04,2.95,0.99,64,1.44,1.1,0.55,0.39,3.1,2.53,1.4,73
Ca18,1.97,3.97,4.15,2.88,0.94,67,1.21,1.05,0.62,0.45,3.15,2.44,1.34,73
Ca19,2.07,4.08,4.17,2.49,0.89,70,1.16,1.05,0.64,0.54,3.05,2.04,1.39,70
Ca20,2.1,4.12,4.17,2.64,0.96,69,0.99,1.17,0.63,0.52,2.9,1.62,1.45,72
Ca21,2.12,4.05,4.19,2.52,1.03,74,0.91,1.16,0.58,0.5,2.75,1.21,1.26,73
Ca22,2.18,4.07,4.15,2.44,0.92,69,0.86,1.23,0.7,0.49,2.7,0.83,1.21,72
Ca23,2.19,4.15,4.17,2.26,1,68,0.86,1.25,0.76,0.65,2.5,0.72,1.26,75
Ca24,2.18,4.06,4.18,2.11,0.9,77,0.72,1.32,0.72,0.51,2.3,0.48,1.07,80
Ca25,2.36,4.02,4.17,2.05,1.06,80,0.71,1.3,0.59,0.58,2.15,0.39,0.81,85
Ca26,2.41,3.93,4.18,1.89,1.09,125,0.58,1.35,0.5,0.56,1.9,0,0,NA
Ca27,2.49,3.76,4.24,1.62,1.1,121,0.56,1.41,0.5,0.37,1.65,0,0,NA
Ca28,2.51,3.54,4.32,1.38,1.17,124,0.51,1.44,0.6,0.47,1.4,0,0,NA
Ca29,2.56,3.32,4.29,1,1.28,114,0.4,1.23,0.43,0.41,1.05,0,0,NA
Ca30,2.55,3.19,4.25,0.73,1.5,105,0.41,1.37,0.59,0.33,0.8,0,0,NA
Ca31,2.5,3.13,4.15,0.46,1.09,90,0.4,1.44,0.35,0.37,0.7,0,0,NA
Ca32,2.37,3,3.82,0,0,NA,0.39,1.39,0.32,0.22,0.55,0,0,NA
Ca33,2.05,3.06,3.87,0,0,NA,0,0,0,0,NA,0,0,NA
Ca34,1.62,3.21,3.4,0,0,NA,0,0,0,0,NA,0,0,NA
