Sousa_plumbea_(PEM_N1179),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.88,3.8,3.48,3.26,0.76,105,2.5,1.35,0,0,NA,1.93,1.69,80
T2,2.61,3.68,3.23,4.56,1.33,110,2.53,2.06,0,0,NA,2.26,1.83,85
T3,3.12,3.76,3.15,4.91,1.64,114,2.82,2.31,0.37,0.45,2.7,2.1,2.08,88
T4,3.57,3.68,3.15,5.07,1.9,115,3,1.61,0.62,0.71,3.2,2.55,2.2,93
T5,3.91,3.82,3.15,5.36,2.44,115,3.22,1.48,1.01,0.84,3.5,2.72,2.3,100
T6,4.19,3.59,3.3,6.02,2.41,114,3.14,1.67,1.44,1.01,3.3,2.82,2.39,110
T7,4.43,3.78,3.36,6.49,2.56,110,3.3,1.81,1.93,0.98,3.5,2.91,2.66,115
T8,4.69,3.87,3.54,7.46,2.75,110,3.34,2.51,2.45,0.98,3.7,3.14,2.68,100
T9,4.8,3.99,3.54,8.41,3.02,110,3.13,2.49,2.35,1.31,4,3.51,2.99,102
T10,4.84,4.11,3.67,8.84,2.87,107,3.07,2.41,2.55,1.36,4.4,3.9,3.03,98
T11,4.8,4.06,3.7,8.84,2.68,105,3.24,2.42,2.75,1.47,4.6,4.96,3.16,100
T12,4.74,4.18,3.73,9.43,2.68,103,3.29,2.45,2.63,1.48,4.9,6.8,2.99,104
L1,4.68,4.16,3.84,9.96,2.76,97,3.5,2.51,2.42,1.35,5.1,8.81,2.94,100
L2,4.66,4.24,3.96,9.9,2.55,92,3.45,2.27,1.97,1.42,5.3,9.36,2.94,100
L3,4.62,4.16,4.18,9.88,2.72,89,3.32,2.3,1.96,1.4,5.3,9.23,2.96,97
L4,4.79,4.31,4.17,9.65,2.81,86,3.41,2.31,1.97,1.23,5.3,9.03,2.89,90
L5,4.69,4.42,4.2,9.65,3,88,3.59,2.11,1.94,1.2,5.4,9.02,2.7,90
L6,4.73,4.38,4.23,9.48,2.88,87,3.7,2.19,1.35,1.18,5.6,9.39,2.75,87
L7,4.77,4.4,4.29,9.46,2.91,85,3.81,2.11,0.91,0.91,5.3,9.17,2.67,88
L8,4.92,4.54,4.55,9.2,3.16,81,3.96,1.93,1.11,0.89,5.6,8.87,2.81,85
L9,4.95,4.61,4.57,9.23,3.08,80,3.95,2.07,1.43,0.97,6,8.58,2.54,80
Ca1,5.1,4.8,4.88,8.78,3.04,80,3.6,2.11,1.44,1.05,6.3,8.22,3.44,85
Ca2,5.15,4.77,5.07,8.32,3.27,80,3.45,2.34,2.06,1.28,6.6,7.91,3.68,85
Ca3,5.24,4.91,4.92,7.82,3.14,78,3.44,2.48,1.84,1.33,6.5,7.62,4.16,89
Ca4,5.24,5.04,5.16,7.26,3.03,78,3.08,2.56,2,1.27,6.4,7.05,4.55,88
Ca5,5.32,5.29,5.2,7.2,3.25,76,2.75,2.75,1.58,1.16,6,6.87,5.03,90
Ca6,5.47,5.3,5.2,7.12,3.26,75,2.44,2.69,1.37,1.11,5.6,6.48,4.23,90
Ca7,5.45,5.33,5.2,6,3.76,78,1.97,2.91,1.83,1.05,5,5.7,3.94,90
Ca8,5.5,5.08,5.15,5.93,3.65,84,1.57,2.96,1.55,1.15,4.4,5.15,3.28,80
Ca9,5.64,4.6,5.11,5.01,3.71,90,0.98,3.23,1.42,0.86,3.4,3.22,2.38,75
Ca10,5.68,4.46,5.3,4.14,3.82,95,0.82,3.55,1.07,0.73,2.5,1.75,1.92,75
Ca11,5.67,4.04,4.86,2.83,3.12,102,0.64,3.26,1.06,0.71,1.5,0.84,1.9,80
Ca12,5.28,3.73,4.65,1.44,2.84,108,0.59,3.59,1,0.54,0.8,0,0,NA
Ca13,4.47,3.95,4.96,0,0,NA,0.5,1.78,0,0,NA,0,0,NA
