Tursiops_truncatus_(USNM_550364),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.5,4.42,3.31,3.18,0.99,109,2.96,1.02,0,0,NA,1.86,1.17,78
T2,2.22,4.04,3.1,4.09,1.11,107,2.93,1.57,0,0,NA,2.08,1.51,92
T3,2.84,3.8,3.09,4.38,1.29,110,3.27,2.1,0.35,0.4,2.85,2.05,1.7,95
T4,3.26,3.44,3.1,4.82,1.4,124,3.15,2.03,0.87,0.59,3.15,2.57,1.93,96
T5,3.62,3.5,3.28,4.84,1.72,125,3.02,2.11,0.79,0.56,3.25,3.05,2.24,98
T6,3.87,3.65,3.54,5.35,1.72,125,2.95,1.75,1.09,0.63,3.2,3.42,2.34,106
T7,4.03,3.8,3.67,5.88,1.79,126,2.96,2.01,1.66,0.73,3.4,3.98,2.45,104
T8,4.13,3.81,3.65,6.18,1.93,124,2.98,2.44,1.87,0.93,3.5,4.41,2.82,106
T9,4.11,3.73,3.61,6.32,2.15,123,2.84,2.43,1.92,0.93,3.45,5.2,2.36,106
T10,4.12,3.74,3.63,6.53,2.35,119,2.94,2.3,2.03,0.86,3.5,6.62,2.67,112
T11,4.09,3.77,3.61,6.93,2.44,118,3.03,2.1,2.18,0.89,3.5,8,2.51,114
T12,4.07,3.83,3.6,7.23,2.39,114,3.06,2.19,2.05,0.82,3.5,9.92,2.59,116
L1,3.95,3.86,3.59,7.94,2.36,104,3.01,2.26,2.04,0.79,3.8,9.27,2.29,106
L2,3.9,4.01,3.67,8.9,2.2,98,2.94,2.19,1.59,0.76,3.85,9.66,2.59,102
L3,3.9,4.14,3.71,9.3,2.06,96,3.05,2.2,1.69,0.88,4,9.2,2.52,100
L4,3.82,4.25,3.81,9.39,2.06,95,3.05,2.01,1.48,0.87,3.95,9.2,2.54,93
L5,3.81,4.31,3.86,9.63,2.14,92,2.78,2.11,1.43,0.77,4,8.95,2.44,92
L6,3.75,4.27,3.98,9.58,2.19,90,2.9,2.16,1.2,0.9,4,9.06,2.44,92
L7,3.75,4.28,4.06,9.47,2.48,88,2.95,2.04,0.81,0.95,4,9.14,2.45,90
L8,3.67,4.41,4.05,9.68,2.32,86,2.71,2.14,0.5,0.62,4.1,8.53,2.22,88
L9,3.66,4.57,4.13,9.79,2.51,80,2.65,2.06,0.46,0.45,4.25,8.33,2.12,85
L10,3.63,4.65,4.14,9.53,2.21,78,2.64,1.97,0.46,0.59,4.4,7.98,1.98,82
L11,3.64,4.58,4.15,9.01,1.95,76,2.72,1.92,0.45,0.45,4.75,7.49,1.96,81
L12,3.64,4.7,4.22,9.02,2.13,73,2.71,2.03,0.47,0.41,4.9,7.32,2.03,79
L13,3.64,4.68,4.26,8.7,2.21,73,2.48,2.05,0.45,0.46,5.05,6.86,2.08,76
L14,3.7,4.7,4.36,7.98,2.39,72,2.74,2,0.59,0.56,5.1,6.4,2.02,75
L15,3.71,4.81,4.43,7.84,2.33,70,2.65,2,0.43,0.5,5.2,6.03,2.06,73
Ca1,3.74,4.81,4.45,7.49,2.45,72,2.67,2.05,0.54,0.67,5.15,5.93,2.12,74
Ca2,3.78,4.87,4.47,6.87,2.59,69,2.59,2.08,0.84,0.66,5.05,5.75,2.08,74
Ca3,3.83,4.87,4.63,6.81,2.46,71,2.25,2.16,0.86,0.7,4.75,5.79,2.17,73
Ca4,3.85,4.83,4.7,6.71,2.43,74,2.29,2.11,0.9,0.79,4.55,5.59,2.04,71
Ca5,3.96,4.82,4.77,6.45,2.51,80,2.05,2.01,1.26,0.86,4.6,5.25,2.24,69
Ca6,4,4.77,4.78,5.86,2.83,83,1.77,2.07,1.3,0.84,4.1,4.98,2.61,70
Ca7,4.08,4.82,4.81,5.84,3.01,96,1.39,2.19,1.33,0.79,4,4.58,2.75,71
Ca8,4.18,4.85,5.07,5.89,2.69,95,1.18,2.17,1.37,0.85,3.75,4.06,2.51,69
Ca9,4.3,4.67,4.98,5.82,3.14,102,1.06,2.17,1.17,0.95,3.2,3.36,2.38,66
Ca10,4.51,4.65,5.14,5.32,3.19,105,0.95,2.29,1.06,0.9,2.9,2.42,1.87,66
Ca11,4.63,4.55,5.24,4.62,3.23,108,0.89,2.33,1.12,0.94,2.6,1.42,1.72,66
Ca12,4.69,4.45,5.26,4.21,2.91,112,0.81,2.47,0.88,0.73,2.2,0.54,1.5,72
Ca13,4.64,4.3,5.28,3.56,2.92,105,0.83,2.62,0.99,0.78,1.85,0.38,1.38,75
Ca14,4.59,4.1,5.26,2.63,2.37,111,0.61,2.79,0.99,0.77,1.25,0,0,NA
Ca15,4.53,3.77,5.1,1.83,2.08,100,0.51,2.65,0.85,0.58,0.65,0,0,NA
Ca16,4.33,3.64,4.76,0.56,1.69,96,0.38,2.23,0.23,0.25,0.3,0,0,NA
Ca17,3.77,3.75,4.4,0,0,NA,0.31,1.55,0,0,NA,0,0,NA
Ca18,2.68,3.86,3.69,0,0,NA,0,0,0,0,NA,0,0,NA
