Tursiops_truncatus_(USNM_550422),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.77,4.84,3.67,4.38,0.92,118,3.12,1.4,0,0,NA,2.46,1.52,81
T2,2.36,4.44,3.57,5.16,1.3,117,3.53,1.99,0,0,NA,2.33,1.81,85
T3,3.2,4.05,3.45,5.56,1.59,120,3.56,2.53,0.65,0.64,2.95,2.47,2.15,83
T4,3.81,3.64,3.53,5.6,1.85,128,3.67,2.41,0.75,0.78,3,2.47,2.48,91
T5,4.05,3.65,3.65,5.21,2.15,126,3.67,2.1,0.77,0.8,3,3.14,2.66,102
T6,4.21,3.89,3.79,5.65,2.47,121,3.43,1.96,1.15,0.79,3.2,3.15,2.72,108
T7,4.34,4.14,3.94,6.14,2.52,125,3.46,2.28,1.51,1.17,3.65,3.71,2.82,103
T8,4.49,4.3,4.07,6.85,2.91,120,3.39,2.91,1.77,1.12,3.8,4.42,2.96,98
T9,4.44,4.45,4.12,7.42,3.19,116,3.35,2.57,1.95,0.99,3.7,5.67,2.92,104
T10,4.53,4.48,4.1,7.56,3.02,120,3.37,2.6,2.35,0.9,3.9,6.7,2.86,109
T11,4.42,4.42,4.15,7.98,3,118,3.31,2.61,2.37,0.87,3.85,8.53,2.74,111
T12,4.25,4.45,4.22,8.99,2.85,114,3.17,2.44,2.59,0.75,3.8,10.79,2.55,110
L1,4.28,4.55,4.21,9.31,2.83,103,3.36,2.33,2.31,0.7,3.9,10.36,2.46,105
L2,4.32,4.72,4.27,9.89,2.73,99,3.42,2.23,2.51,0.7,4.15,10.57,2.63,99
L3,4.27,4.93,4.33,9.86,2.63,95,3.44,2.1,1.77,0.91,4.2,10.07,2.77,92
L4,4.16,4.98,4.4,9.81,2.89,93,3.31,2.14,1.7,0.84,4.1,9.75,2.68,93
L5,4.21,4.97,4.66,10.23,2.77,92,3,2.19,1.76,0.89,4.1,9.65,2.59,91
L6,4.17,5.05,4.58,10.39,2.68,91,2.91,2.39,1.3,0.82,3.85,9.32,2.57,88
L7,4.08,5.2,4.77,10.9,2.9,88,3.19,2.27,0.98,0.88,3.75,9.04,2.65,90
L8,4.12,5.34,4.73,10.96,2.85,82,3.13,2.3,0.35,0.45,3.8,8.98,2.49,89
L9,4.12,5.49,4.69,11.23,2.88,77,3.17,2.21,0.46,0.63,4.1,8.71,2.52,88
L10,4.11,5.47,4.76,11.32,2.74,74,2.97,2.17,0.38,0.43,4.35,8.32,2.37,81
L11,4.17,5.5,4.79,10.8,2.54,73,3.03,2.19,0.35,0.39,4.35,7.95,2.43,83
L12,4.18,5.56,4.91,10.85,2.76,71,3.11,2.21,0.36,0.41,4.7,7.59,2.48,80
L13,4.2,5.48,5.05,10.23,2.68,73,2.92,2.11,0.28,0.43,5,7.24,2.44,77
L14,4.22,5.53,5.2,10.09,2.62,73,2.95,2.17,0.59,0.55,5.3,6.51,2.42,72
Ca1,4.21,5.51,5.33,9.72,2.74,70,2.8,2.13,0.55,0.57,5.15,6.5,2.3,70
Ca2,4.2,5.6,5.33,9.8,2.96,67,2.69,2.07,0.61,0.44,5.3,6.26,2.06,70
Ca3,4.23,5.56,5.37,9.15,2.79,67,2.58,2.29,0.57,0.63,5.15,6.13,2.23,69
Ca4,4.3,5.51,5.51,8.66,2.64,68,2.44,2.3,0.78,0.61,5,5.88,2.72,69
Ca5,4.31,5.47,5.58,7.93,2.89,71,2.24,2.22,0.79,0.56,4.85,5.83,2.9,67
Ca6,4.4,5.47,5.54,6.81,3,75,2.07,2.55,0.85,0.59,4.55,5.89,3.16,68
Ca7,4.53,5.5,5.56,7.02,3.16,78,1.69,2.5,0.82,0.7,4.15,5.42,2.81,65
Ca8,4.65,5.45,5.7,6.31,3.29,87,1.45,2.31,1.04,0.7,3.65,4.8,2.86,65
Ca9,4.75,5.41,5.58,5.78,3.65,95,1.39,2.06,0.93,0.75,3.5,3.68,2.72,63
Ca10,5,5.23,5.56,5.42,3.24,102,1.3,2.1,1.03,0.83,3.2,3.08,2.3,68
Ca11,5.19,5.23,5.68,4.93,3.66,103,1.19,2.26,0.87,0.71,2.8,1.84,2.12,65
Ca12,5.27,5.05,5.78,4.19,3.36,105,0.96,2.38,0.77,0.6,2.4,0.96,1.53,70
Ca13,5.1,4.76,5.85,3.71,2.79,106,0.86,2.28,0.72,0.76,2.2,0.49,1.15,73
Ca14,5.05,4.48,5.93,2.92,2.39,107,0.72,2.59,1.12,0.83,1.6,0,0,NA
Ca15,4.96,4.16,5.78,2.32,2.2,97,0.6,2.69,0.64,0.55,0.9,0,0,NA
Ca16,4.66,3.92,5.45,1.1,2.05,106,0.42,2.14,0.52,0.45,0.2,0,0,NA
Ca17,4.1,3.94,4.67,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,3.15,4.05,4.22,0,0,NA,0,0,0,0,NA,0,0,NA
