Tursiops_truncatus_(USNM_571388),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.42,4.56,3.47,3,0.71,121,3.11,1.06,0,0,NA,1.74,1.16,77
T2,2.07,4.07,3.05,4.16,0.85,124,3.19,1.65,0,0,NA,2.08,1.6,82
T3,2.71,3.77,3.3,4.77,1.01,117,3.3,2.06,0.39,0.43,3.5,1.99,1.83,93
T4,2.82,3.65,3.79,4.77,1.91,117,3.34,2.14,0.9,0.58,3.6,2.18,1.88,100
T5,3.29,3.72,3.53,5.65,1.89,120,3.33,1.8,1,0.79,3.7,2.77,2.1,103
T6,3.91,3.63,3.52,5.84,1.77,114,3.14,1.79,1.25,0.91,3.65,2.8,2.42,109
T7,3.96,3.63,3.76,6.66,2.26,112,3.02,2.39,1.75,0.92,4,3.72,2.44,102
T8,4.08,3.71,3.7,6.62,2.4,109,3.1,2.55,1.95,1.04,3.95,4.42,2.68,105
T9,4.16,3.63,3.79,7.02,2.33,111,2.91,2.65,2.18,0.98,4.15,4.94,3.05,111
T10,4.11,3.88,3.8,7.88,2.32,111,2.74,2.72,2.27,0.98,4.15,6.14,2.85,110
T11,4.04,3.94,3.9,7.97,2.47,112,2.71,2.61,2.11,0.84,3.9,7.44,2.5,111
T12,4.04,4.13,4.02,8.54,2.39,111,2.81,2.51,1.9,0.89,4.1,9.54,2.55,108
L1,3.82,4.33,4.06,8.99,2.49,101,2.74,2.38,1.69,0.72,4.4,9.86,2.4,101
L2,3.78,4.48,4.07,9.14,2.35,98,2.95,2.51,NA,NA,NA,9.73,2.51,95
L3,3.71,4.51,4.14,9.07,2.24,96,2.91,2.22,1.58,0.77,4.4,9.57,2.56,92
L4,3.63,4.59,4.19,8.89,2.32,95,2.75,2.14,1.67,0.9,4.15,9.73,2.61,91
L5,3.6,4.67,4.21,9.33,2.21,96,2.84,2.19,1.23,0.85,4.35,9.32,2.47,88
L6,3.55,4.69,4.34,9.64,2.25,93,2.78,2.2,0.75,0.86,4.3,9.3,2.48,87
L7,3.54,4.75,4.47,9.88,2.24,86,2.69,2.18,0.71,0.83,4.2,9.23,2.42,85
L8,3.53,4.8,4.49,9.89,2.26,80,2.82,2.15,0.62,0.74,4.3,8.71,2.23,82
L9,3.49,4.86,4.44,9.71,2.15,74,2.81,2.08,0.4,0.52,4.4,8.26,2.26,81
L10,3.42,4.93,4.52,9.26,2.02,77,2.8,2.22,0.51,0.72,4.6,7.75,2.19,78
L11,3.45,4.8,4.57,9.16,1.92,73,2.83,2.16,0.49,0.71,4.7,7.64,2.13,75
L12,3.41,5.07,4.66,9.07,1.93,70,2.81,2,0.47,0.48,4.8,7.24,2.1,75
L13,3.4,5.08,5.04,8.36,1.9,67,2.9,2.18,0.39,0.72,5,7.12,2.17,75
L14,3.43,5.22,5,8.12,2.1,65,2.84,2.06,0.62,0.69,5.1,6.62,2.13,72
Ca1,3.49,5.17,5.08,8.06,2.19,63,2.73,2.15,0.45,0.44,5.6,6.44,2.07,70
Ca2,3.38,5.08,4.97,7.92,2.26,71,2.72,2.08,0.49,0.53,5.5,5.86,2.01,73
Ca3,3.22,5.56,5.13,7.44,2.57,62,2.38,2.52,0.32,0.4,5.2,5.62,2.06,70
Ca4,3.29,5.34,5.35,7.08,2.61,67,2.41,2.51,0.38,0.57,5.4,5.24,2.11,64
Ca5,3.56,5.03,5.05,6.93,2.48,70,2.37,1.95,0.61,0.56,4.85,5.23,2.09,66
Ca6,3.54,4.97,5.1,6.28,2.55,79,2.02,2.08,0.6,0.58,4.4,4.93,2.57,65
Ca7,3.72,4.95,5.08,6.09,2.65,87,1.79,2.05,0.69,0.71,4.35,4.54,2.75,60
Ca8,0.96,4.84,5.18,6.04,2.68,96,1.46,2.22,0.97,0.67,3.9,4.19,2.58,64
Ca9,4.07,4.83,5.27,5.68,2.65,102,1.32,2.26,0.59,0.75,3.5,3.49,2.3,63
Ca10,4.24,4.68,5.19,5.3,2.85,106,1.06,2.28,0.64,0.65,3.35,3.14,2.11,65
Ca11,4.29,4.72,5.28,4.98,2.82,106,1.02,2.23,0.78,0.85,2.85,2.06,1.81,67
Ca12,4.34,4.5,5.18,4.53,2.82,107,0.9,2.37,0.48,0.65,2.35,1.12,1.94,70
Ca13,4.32,4.49,5.07,4.04,2.63,108,0.74,2.47,0.58,0.66,2.15,0.79,1.69,74
Ca14,4.37,4.26,5.16,2.98,2.6,111,0.71,2.5,0.62,0.61,1.7,0.48,1.32,75
Ca15,4.32,3.89,5.11,2.11,2.32,120,0.42,2.53,0.6,0.57,0.95,0,0,NA
Ca16,4.25,3.74,4.96,0.89,1.88,120,0.45,2.69,0.49,0.46,0.5,0,0,NA
Ca17,4,3.66,4.65,0.29,1.65,110,0.49,2.09,0.23,0.17,0.15,0,0,NA
Ca18,3.35,3.66,4.05,0,0,NA,0,0,0,0,NA,0,0,NA
