Neophocaena_phocaenoides_(SMNS_45679),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.03,2.38,1.89,1.09,0.67,110,1.6,0.84,0,0,NA,1.26,0.69,80
T2,1.14,2.05,1.74,1.5,0.82,115,1.66,1.21,0,0,NA,1.66,0.91,80
T3,1.32,2,1.66,1.66,0.95,110,1.67,1.43,0,0,NA,1.82,1.11,78
T4,1.53,2.09,1.72,1.79,1.05,108,1.67,1.6,0,0,NA,1.93,1.12,80
T5,1.72,2.16,1.79,1.81,1.31,105,1.61,1.68,0.55,0.47,2.1,1.81,1.21,77
T6,1.79,2.29,1.71,1.85,1.3,104,1.46,1.75,0.46,0.52,2.1,1.65,1.29,80
T7,1.85,2.25,1.88,2.11,1.35,100,1.63,1.42,0.48,0.41,2,1.67,1.33,83
T8,1.95,2.34,1.83,1.97,1.33,105,1.34,1.29,0.86,0.54,2,1.71,1.29,90
T9,1.98,2.36,2,2.31,1.43,112,1.3,1.41,1.15,0.53,1.9,1.91,1.13,95
T10,1.98,2.43,2.04,2.6,1.36,120,1.24,1.29,1.11,0.93,1.7,2.01,1.17,100
T11,2.08,2.53,2.05,2.61,1.24,120,1.22,1.25,1.38,0.85,1.6,2.31,1.14,100
T12,2.06,2.65,2.08,2.53,1.33,125,1.33,1.28,1.46,0.94,1.75,2.94,1.11,100
T13,2.06,2.7,2.09,2.7,1.1,135,1.28,1.09,1.46,0.68,1.9,5.04,1.36,100
L1,1.99,2.7,2.08,2.63,1.12,135,1.35,1.15,1.46,0.73,1.9,5.5,1.4,90
L2,2.02,2.73,2.16,2.75,1.14,135,1.3,1.19,1.53,0.67,1.95,5.82,1.53,90
L3,2.04,2.69,2.21,2.54,1.28,132,1.29,1.11,1.39,0.72,2,5.93,1.56,85
L4,2.05,2.67,2.28,2.6,1.08,130,1.24,1.13,1.27,0.77,2,5.69,1.54,85
L5,2.08,2.72,2.27,2.77,1.17,130,1.31,1.18,1.13,0.71,2,5.47,1.72,85
L6,2.1,2.76,2.27,2.69,1.11,126,1.25,1.18,1.34,0.75,1.95,5.43,1.72,84
L7,2.03,2.8,2.31,2.5,1.06,124,1.35,1.15,1.31,0.68,2,5.66,1.63,85
L8,2.07,2.76,2.4,2.52,1.19,118,1.3,1.28,1.32,0.68,2.05,5.39,1.54,84
L9,2,2.74,2.46,2.46,1.24,113,1.28,1.24,1.21,0.8,2.1,5,1.46,83
L10,2,2.75,2.54,2.35,1.37,114,1.25,1.16,1.14,0.78,2.05,4.5,1.41,80
L11,1.94,2.74,2.5,2.52,1.38,107,1.18,1.12,1.03,0.75,2,4.09,1.2,78
Ca1,1.88,2.77,2.54,2.5,1.33,102,1.21,1.21,1.06,0.59,2.05,4.13,1.32,72
Ca2,1.86,2.77,2.45,2.29,1.2,94,1.22,1.07,0.92,0.57,2.05,3.94,1.21,72
Ca3,1.76,2.73,2.46,2.42,1.06,93,1.22,1.08,0.95,0.92,2.05,3.84,1.33,74
Ca4,1.76,2.83,2.54,2.33,1.06,90,1.25,1.09,0.85,0.91,2,3.3,1.75,76
Ca5,1.78,2.92,2.51,2.22,1.02,85,1.18,1.1,0.87,0.75,1.95,2.94,1.77,80
Ca6,1.75,2.96,2.63,2.49,1.11,82,0.98,1.08,0.83,0.77,1.9,2.61,1.73,82
Ca7,1.59,2.85,2.49,2.44,1.01,80,0.95,0.98,0.75,0.62,1.85,2.48,1.55,82
Ca8,1.71,2.72,2.62,2.22,1.04,80,0.75,1,0.78,0.6,1.5,2.21,1.41,82
Ca9,1.58,2.66,2.77,2.03,1,85,0.64,0.99,0.82,0.46,1.35,2.03,1.18,75
Ca10,1.57,2.52,2.85,1.78,1.08,87,0.5,1.15,0.87,0.51,1.1,1.7,0.98,73
Ca11,1.76,2.54,2.73,1.54,1.01,89,0.4,1.2,0.66,0.45,0.85,0.9,0.73,68
Ca12,1.74,2.6,2.76,1.26,1.05,89,0.32,1.17,0.55,0.33,0.6,0.32,0.57,65
Ca13,1.79,2.59,2.67,1.14,1.04,90,0.34,1.19,0.35,0.29,0.5,0,0,NA
Ca14,1.78,2.35,2.6,0.84,1.01,90,0.27,1.15,0.28,0.22,0.4,0,0,NA
Ca15,1.67,2.41,2.55,0.65,0.95,88,0.28,1.08,0.38,0.2,0.3,0,0,NA
Ca16,1.67,2.35,2.46,0.45,0.88,80,0.26,0.98,0,0,NA,0,0,NA
Ca17,1.55,2.23,2.42,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,1.37,2.25,2.41,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.13,2.34,2.23,0,0,NA,0,0,0,0,NA,0,0,NA
