Tursiops_truncatus_(USNM_550852),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.47,4.56,3.42,3.39,1.11,110,2.9,1.18,0,0,NA,1.85,1.24,78
T2,2.05,4.25,3.19,4.67,1.27,113,2.98,1.71,0,0,NA,1.98,1.63,85
T3,2.6,3.62,3.24,5.35,1.37,119,3.05,1.82,0.38,0.39,2.55,1.83,1.79,88
T4,3.15,3.4,3.14,5.56,1.6,123,2.91,2.09,0.75,0.79,3.15,1.93,1.99,96
T5,3.37,3.41,3.29,5.36,1.55,125,2.77,1.82,0.93,0.98,3.25,2.32,2.11,100
T6,3.47,3.65,NA,5.69,1.65,121,2.72,1.66,1.24,1.05,3.2,2.67,2.52,112
T7,3.49,3.81,3.71,6.29,1.9,120,2.68,1.57,1.26,0.88,3.1,3.01,2.56,113
T8,3.8,3.67,3.63,7.27,2.09,117,2.93,2.02,1.95,1.1,3.25,3.47,2.53,113
T9,3.96,3.81,3.7,7.72,2.37,120,2.53,2.4,1.92,1.13,3.6,4.61,2.64,106
T10,3.96,3.86,3.79,7.77,2.24,117,2.46,2.26,1.88,1.03,3.65,5.52,2.76,111
T11,3.91,3.95,3.73,8.47,2.42,115,2.59,2.34,1.85,0.87,3.65,7.27,2.49,116
T12,3.84,3.98,3.83,8.98,2.45,113,2.77,2.42,1.84,0.83,3.75,9.96,2.43,119
L1,3.75,4.07,3.86,9.26,2.29,105,2.97,2.34,1.45,0.79,3.95,9.9,2.23,106
L2,3.73,4.23,4,9.82,2.32,100,2.97,2.18,1.38,0.68,4.05,9.91,2.22,105
L3,3.59,4.26,3.98,10.17,2.23,94,2.83,2.33,1.34,0.86,4.15,9.5,2.22,108
L4,3.54,4.26,4.05,10.64,2.15,91,2.81,2.09,1.05,0.75,4.2,9.52,2.22,105
L5,3.54,4.38,4.22,10.56,2.05,89,2.77,1.92,1.03,0.7,4.2,9.04,2.14,101
L6,3.39,4.41,4.35,10.75,2.14,84,2.79,2.06,0.35,0.56,3.8,8.89,2.26,96
L7,3.48,4.49,4.51,10.91,2.32,81,2.67,2.01,0.3,0.44,3.8,8.77,2.24,94
L8,3.34,4.68,4.43,11.05,2.16,78,2.69,2.17,0.29,0.4,4.05,8.66,2.21,93
L9,3.39,4.63,4.46,10.94,2.08,73,2.68,1.96,0.24,0.35,4,8.29,2.36,90
L10,3.34,4.78,4.51,10.89,2.09,70,2.67,1.87,0.32,0.38,4.2,7.83,2.05,86
L11,3.32,4.73,4.43,10.69,2.24,68,2.59,1.9,0.26,0.41,4.35,7.54,2.04,86
L12,3.4,4.78,4.58,10.34,2.46,66,2.65,1.96,0.31,0.44,4.4,7.13,2.02,85
L13,3.37,4.83,4.72,9.71,2.32,66,2.72,1.88,0.3,0.4,4.5,6.68,1.97,83
L14,3.39,4.97,4.73,9.33,2.29,65,2.71,1.94,0.39,0.42,4.65,6.33,1.91,81
L15,3.41,4.95,4.75,8.89,2.38,66,2.58,1.88,0.31,0.52,4.65,6.2,1.8,79
Ca1,3.35,5.03,4.84,8.24,2.54,71,2.46,1.83,0.65,0.63,4.95,6.04,1.74,75
Ca2,3.45,5.09,4.81,7.63,2.57,73,2.56,1.96,0.71,0.62,4.9,5.96,1.99,72
Ca3,3.47,5.03,4.85,7.38,2.33,73,2.4,1.73,0.83,0.63,4.85,5.97,2.16,71
Ca4,3.43,4.91,4.87,7.25,2.14,73,2.13,1.88,1.07,0.78,4.75,5.52,2.21,74
Ca5,3.47,4.92,4.86,6.97,2.47,81,1.86,1.98,1.18,0.83,4.55,5.51,2.35,75
Ca6,3.58,4.94,5.03,6.77,2.32,80,1.59,2.12,1.15,0.76,4.25,5.3,2.53,72
Ca7,3.66,4.91,5.01,6.44,2.42,80,1.37,2.05,1.06,0.81,4.15,4.8,2.62,72
Ca8,3.74,4.92,5.11,6.27,2.47,84,1.26,2.04,1.01,0.86,3.6,4.28,2.32,72
Ca9,3.87,4.95,5.15,5.93,2.55,92,1.18,1.97,0.95,0.94,3.5,3.91,2.07,71
Ca10,4.06,4.67,5.23,5.72,2.49,96,1.04,2.03,0.99,0.94,3.1,3.06,1.79,69
Ca11,4.21,4.82,5.43,5.12,2.63,102,0.86,2.21,0.83,0.91,2.75,2.16,1.75,68
Ca12,4.35,4.48,5.37,4.38,2.35,110,0.81,2.21,0.8,0.85,2.4,0.57,1,68
Ca13,4.44,4.4,5.25,3.63,2.31,110,0.81,2.21,0.63,0.64,1.9,0.34,0.74,70
Ca14,4.42,4.18,5.47,2.78,2.14,114,0.6,2.64,0.63,0.54,1.35,0,0,NA
Ca15,4.53,3.99,5.24,1.24,1.82,113,0.42,2.55,0.44,0.39,0.55,0,0,NA
Ca16,4.48,3.8,5.07,0.41,1.8,106,0.42,2.11,0.28,0.27,0.3,0,0,NA
Ca17,3.88,3.76,4.59,0,0,NA,0.37,1.38,0,0,NA,0,0,NA
Ca18,2.74,3.83,3.96,0,0,NA,0,0,0,0,NA,0,0,NA
