Phocoena_spinipinnis_(USNM_550782),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.98,3.24,2.52,1.93,0.82,113,2.27,1.04,0,0,NA,1.65,0.94,90
T2,1.47,2.71,2.41,3.64,1,111,2.18,1.09,0,0,NA,1.75,1.06,86
T3,1.93,2.85,2.3,3.91,1.37,114,2.3,1.23,0,0,NA,1.81,1.35,83
T4,2.14,2.83,2.34,4,1.73,112,2.13,1.41,0.39,0.49,1.3,1.79,1.54,82
T5,2.26,2.88,2.46,4.09,1.77,105,2.14,1.46,0.52,0.51,1.5,1.73,1.73,84
T6,2.29,2.98,2.51,4.3,2.26,102,1.92,1.47,0.56,0.54,1.55,1.75,1.8,91
T7,2.43,3.06,2.56,4.6,2.38,104,1.93,1.36,0.49,0.46,1.6,1.82,1.83,97
T8,2.43,3.13,2.55,4.6,2.1,112,1.74,1.52,0.46,0.54,1.55,1.81,1.84,102
T9,2.58,3.14,2.64,5.21,2.31,115,1.72,1.75,0.81,0.9,1.8,1.59,1.75,100
T10,2.64,3.17,2.63,5.02,2.38,118,1.89,1.97,0.89,0.81,2,1.95,1.88,106
T11,2.65,3.26,2.69,NA,NA,NA,1.7,1.98,0.95,0.86,2.3,2.38,1.81,103
T12,2.63,3.12,2.75,5.49,2.06,124,1.73,2.02,1,0.76,2.4,2.92,2.03,104
T13,2.65,3.27,2.77,NA,NA,NA,1.73,2.3,0.86,0.78,2.25,4.51,1.95,105
T14,2.66,3.14,2.87,NA,NA,NA,1.77,2.11,0.56,0.69,2.4,5.97,1.86,101
L1,2.66,3.24,2.98,6.13,2.15,120,1.7,2.03,0.4,0.51,2.5,6.22,2.08,89
L2,2.6,3.23,2.94,6.16,1.76,118,1.86,1.77,0.2,0.45,2.3,6.43,2.01,80
L3,2.61,3.4,3.02,6.02,1.84,123,1.67,1.79,0.33,0.73,2.65,6.86,2.1,80
L4,2.57,3.44,3.06,6.06,1.88,122,1.76,1.96,0,0,NA,6.86,1.99,78
L5,2.56,3.47,3.09,5.77,1.62,124,1.66,1.74,0,0,NA,6.55,2.04,78
L6,2.5,3.58,3.14,5.84,1.64,123,1.55,1.62,0,0,NA,6.24,2.08,76
L7,2.5,3.42,3.05,5.89,1.53,120,1.77,1.5,0,0,NA,6.04,2.07,76
L8,2.43,3.44,3.24,6.19,1.63,118,1.59,1.39,0,0,NA,6.05,2.04,73
L9,2.46,3.61,3.15,5.67,1.52,118,1.58,1.59,0,0,NA,5.44,1.93,73
L10,2.41,3.63,3.35,5.63,1.62,116,1.44,1.61,0,0,NA,5.24,1.84,70
L11,2.41,3.74,3.31,5.41,1.72,110,1.33,1.65,0,0,NA,5.59,1.91,70
L12,2.4,3.64,3.41,5.24,1.85,105,1.29,1.6,0,0,NA,5.41,1.9,68
L13,2.38,3.7,3.53,4.97,1.89,104,1.3,1.47,0.27,0.48,2.85,5.25,1.71,66
Ca1,2.38,3.73,3.51,4.91,1.84,102,1.42,1.57,0.27,0.57,2.8,4.96,1.79,64
Ca2,2.37,3.74,3.41,4.62,1.73,102,1.36,1.55,0.42,0.61,2.6,4.74,1.77,58
Ca3,2.34,3.8,3.53,4.38,1.81,103,1.21,1.62,0.49,0.76,2.7,4.83,1.76,56
Ca4,2.32,3.71,3.48,4.42,1.95,103,1.08,1.72,0.48,0.68,2.3,4.29,1.75,60
Ca5,2.29,3.69,3.57,4.32,2.04,95,1,1.77,0.61,0.67,2.3,3.9,2.09,62
Ca6,2.33,3.85,3.53,4.18,2.14,97,1,1.64,0.6,0.72,2.35,3.76,2.27,65
Ca7,2.34,3.77,3.61,4.03,2.11,99,0.94,1.56,0.65,0.43,2.1,3.17,1.85,66
Ca8,2.31,3.81,3.51,3.78,1.82,100,0.74,1.39,0.59,0.46,1.95,2.3,1.59,63
Ca9,2.16,3.69,3.49,3.1,1.91,104,0.71,1.44,0.35,0.59,1.1,0.99,1.31,64
Ca10,2.15,3.49,3.49,2.88,1.77,106,0.65,1.37,0.55,0.46,0.95,0.51,1.2,68
Ca11,2.13,3.23,2.46,2.27,1.61,106,0.59,1.35,0.34,0.43,0.8,0.44,0.77,72
Ca12,2.03,3.13,3.75,1.97,1.49,105,0.45,1.43,0.45,0.5,0.65,0.33,0.63,73
Ca13,1.86,3.69,4.1,1.09,1.3,110,0.55,1.46,0.5,0.47,0.55,NA,NA,NA
Ca14,1.51,3.4,4.19,0.99,1.26,107,0.45,1.25,0.43,0.34,0.45,NA,NA,NA
Ca15,1.48,3.15,3.37,0.67,1.26,122,0.45,1.2,0.43,0.35,0.3,NA,NA,NA
Ca16,1.93,2.88,3.44,0,0,NA,0.35,1.15,0.31,0.3,0.3,0,0,NA
Ca17,1.89,2.76,3.35,0,0,NA,0.32,1.22,0,0,NA,0,0,NA
Ca18,1.76,2.7,3.03,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.52,2.72,2.79,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.27,2.69,2.65,0,0,NA,0,0,0,0,NA,0,0,NA
