Phocoenoides_dalli_(USNM_504417),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.92,3.54,3.05,6.15,0.9,99,2.62,0.91,0,0,NA,1.27,0.7,74
T2,1.22,3.28,2.95,8.46,1.56,103,2.92,1.24,0,0,NA,1.67,0.92,76
T3,1.48,3.21,2.9,9.4,1.45,109,3.01,1.62,0.34,0.51,2.15,1.7,1.24,86
T4,1.61,3.03,2.85,9.57,1.65,114,2.91,1.38,0.65,0.54,2.4,1.43,1.4,95
T5,1.71,3.1,2.79,9.79,1.51,114,2.87,1.36,0.67,0.51,2.55,1.59,1.45,100
T6,1.79,3.11,2.93,9.83,1.43,113,2.93,1.37,0.85,0.51,2.35,1.53,1.52,100
T7,1.87,3.25,2.95,10.12,1.45,111,3.14,1.36,0.99,0.51,2.25,1.53,1.46,100
T8,1.85,3.19,2.94,9.96,1.38,108,2.96,1.34,0.98,0.54,2.35,1.65,1.41,101
T9,1.96,3.35,2.98,10.27,1.43,106,3.26,1.32,1.01,0.47,2.5,1.51,1.47,99
T10,1.94,3.43,3.08,10.17,1.43,107,3.17,1.4,0.81,0.52,2.05,1.55,1.43,97
T11,1.96,3.51,3.14,10.92,1.39,104,3.15,1.62,0.91,0.63,2.2,1.68,1.42,97
T12,1.98,3.54,3.17,11.42,1.41,104,3.01,1.67,0.58,0.59,2.15,1.7,1.36,96
T13,2.01,3.57,3.18,12.1,1.36,102,2.81,1.5,0.83,0.72,2.45,1.92,1.39,93
T14,1.99,3.66,3.24,12.64,1.5,100,2.7,1.5,0.93,0.81,2.85,2.4,1.4,94
T15,1.99,3.77,3.34,12.76,1.41,97,2.66,1.66,0.89,0.85,3.1,2.52,1.42,93
T16,2.04,3.77,3.4,12.91,1.46,93,2.92,1.36,0.74,0.78,3.3,3.43,1.56,98
T17,1.93,3.78,3.44,13.19,1.34,92,2.91,1.49,0.76,0.75,3.5,5.66,1.52,103
L1,1.83,3.68,3.49,13.28,1.38,84,3.1,1.49,0.54,0.7,3.25,8.5,1.21,96
L2,1.84,3.68,3.57,13.61,1.32,83,3.07,1.43,0.41,0.74,3.4,9.78,1.23,94
L3,1.85,3.83,3.53,14.09,1.31,83,3.22,1.46,0.24,0.51,3.5,10.68,1.2,93
L4,1.83,3.84,3.52,14.09,1.28,82,3.11,1.41,0.29,0.64,3.7,11.04,1.22,93
L5,1.82,3.78,3.62,14.31,1.12,80,3.18,1.4,0.22,0.45,3.85,11.2,1.19,94
L6,1.76,3.79,3.68,14.57,1.14,81,3.06,1.38,0,0,NA,10.95,0.98,93
L7,1.79,3.78,3.69,14.29,1.12,80,3.19,1.33,0,0,NA,11.06,1.06,91
L8,1.73,3.87,3.76,14.31,1.13,80,2.97,1.34,0,0,NA,10.7,0.95,88
L9,1.74,3.86,3.77,14.26,1.04,80,2.89,1.31,0,0,NA,10.45,1,85
L10,1.78,3.9,3.85,14.01,1.04,79,3.01,1.38,0,0,NA,10.27,1.02,84
L11,1.81,3.88,3.89,13.98,1.03,79,2.85,1.25,0,0,NA,9.97,1.17,82
L12,1.72,3.98,3.81,13.82,1.02,78,3.02,1.32,0,0,NA,9.77,0.94,80
L13,1.77,4.04,3.9,13.57,1,77,2.89,1.43,0,0,NA,9.36,0.9,79
L14,1.74,4.16,3.94,13.66,1.01,76,2.93,1.22,0,0,NA,9.08,0.99,78
L15,1.77,4.25,3.94,13.67,1.01,75,2.91,1.09,0,0,NA,8.87,1.05,77
L16,1.75,4.19,3.79,13.66,1.06,74,2.82,1.33,0,0,NA,8.64,1.07,75
L17,1.77,4.3,3.99,13.65,1.11,72,3.12,1.31,0,0,NA,8.27,1.05,75
L18,1.79,4.37,4.02,13.89,1.11,72,2.97,1.18,0,0,NA,8.12,1.1,74
L19,1.78,4.42,3.97,13.96,1.19,72,3.06,1.26,0,0,NA,7.92,1.16,73
L20,1.78,4.36,3.99,13.92,1.19,72,2.99,1.16,0,0,NA,7.95,1.06,72
L21,1.77,4.36,4.08,14.13,1.14,73,2.91,1.13,0,0,NA,7.7,1.13,71
L22,1.77,4.42,4.08,14.2,1.25,72,2.94,1.09,0,0,NA,7.58,1.02,71
L23,1.79,4.47,4.17,14.13,1.25,71,2.92,1.12,0,0,NA,7.4,1.05,72
L24,1.8,4.44,4.23,14.21,1.33,70,2.86,1.3,0,0,NA,7.05,1.03,72
L25,1.78,4.29,4.53,13.9,1.4,70,2.79,1.25,0,0,NA,7.01,1.14,74
Ca1,1.81,4.42,4.49,13.68,1.39,70,2.78,1.24,0,0,NA,6.65,1.15,72
Ca2,1.82,4.33,4.48,13.69,1.55,69,2.75,1.15,0,0,NA,6.47,1.08,69
Ca3,1.82,4.53,4.38,13.68,1.67,97,2.53,1.32,0,0,NA,6.13,1.1,68
Ca4,1.89,4.44,4.3,13.33,1.74,67,2.57,1.21,0,0,NA,5.85,1.14,68
Ca5,1.89,4.5,4.4,13.25,1.78,67,2.54,1.14,0.25,0.3,4.8,5.55,1.18,68
Ca6,1.83,4.56,4.39,13.06,1.71,68,2.48,1.18,0.24,0.32,4.65,5.33,1.15,68
Ca7,1.91,4.48,4.32,13.11,1.7,68,2.32,1.15,0.21,0.34,4.5,5.19,1.2,67
Ca8,1.88,4.46,4.37,13.1,1.65,67,2.22,1.2,0.35,0.33,4.4,4.84,1.07,67
Ca9,1.86,4.44,4.27,12.93,1.66,67,2.1,1.33,0.43,0.31,4.3,4.74,1.18,67
