Globicephala_macrorhynchus_(USNM_593641),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.89,6.09,5.71,3.76,0.9,113,5.2,1.14,0,0,NA,3.39,1.15,74
T2,2.52,5.97,5.54,4.14,1.18,114,4.9,1.61,0,0,NA,3.64,1.59,78
T3,3.1,5.99,5.32,4.01,1.6,112,4.92,1.91,0,0,NA,3.38,1.66,77
T4,3.68,5.67,5.14,3.61,1.97,108,5.2,2.09,0.67,0.56,3.15,3.49,1.98,78
T5,4.28,5.63,5.2,3.63,1.89,105,5.11,1.69,1.02,0.73,3.35,3.87,2.1,84
T6,4.73,5.38,5.58,4.25,2.13,102,5.12,2.11,1.17,0.91,3.9,3.96,2.21,92
T7,5.07,5.12,5.72,5.15,2.52,99,5.14,2.73,1.44,1.18,4,4.7,2.47,94
T8,5.35,5.17,5.63,5.74,2.6,97,4.66,2.64,1.47,1.16,4.6,6.11,2.66,97
T9,5.59,5.21,5.53,7.25,2.64,97,4.47,2.82,1.51,1.15,5,6.78,2.6,100
T10,5.65,5.17,5.49,8.04,2.6,95,4.52,2.74,1.6,1.14,5.25,8.07,3.28,100
T11,5.69,5.29,5.39,8.82,2.37,96,4.6,2.8,1.57,1.05,5.3,10.47,3.19,100
L1,5.87,5.38,5.31,9.27,2.54,91,4.66,2.7,1.51,0.97,5.6,9.74,2.79,90
L2,5.51,5.41,5.26,9.62,2.57,86,4.28,2.68,1.18,0.77,5.6,9.53,2.8,85
L3,5.73,5.39,5.19,9.52,2.62,84,4.3,2.82,1.18,0.71,5.65,9.61,3.06,85
L4,5.85,5.43,5.41,9.69,2.3,81,4.12,2.74,0.84,0.77,5.4,9.33,2.97,82
L5,5.83,5.5,5.29,9.98,2.13,79,4.01,2.46,1.02,0.62,5.5,8.97,2.94,82
L6,5.89,5.5,5.41,9.69,2.03,75,4.26,2.42,0.61,0.58,5.6,9.06,2.82,84
L7,5.88,5.58,5.41,9.5,2.27,72,4.24,2.51,0.72,0.63,5.9,9.05,2.85,88
L8,5.89,5.66,5.42,8.01,2.28,71,4.22,2.47,0.73,0.75,5.9,8.63,2.66,90
L9,5.9,5.82,5.6,7.83,2.7,71,4.25,2.49,0.53,0.67,6,8.35,2.71,95
L10,6.01,5.84,5.59,7.35,2.81,72,4.33,2.51,0.7,0.57,6.5,8.29,2.45,100
L11,6.06,5.87,5.75,6.94,3.25,76,4.27,2.75,0.75,0.97,6.1,7.94,2.32,101
L12,6.08,5.94,5.88,6.44,2.96,76,4.26,2.52,0.79,0.65,6.2,7.43,2.46,103
L13,6.07,5.87,6.11,6.14,2.69,77,4.26,2.58,0.69,0.64,6.2,6.54,2.55,98
Ca1,6.19,5.89,6.09,5.9,3.1,76,4,2.55,0.75,0.72,6.3,6.31,2.69,96
Ca2,6.21,6.07,6.14,5.74,2.8,75,3.77,2.41,0.7,0.78,6,5.91,3.19,96
Ca3,6.23,6.06,6.35,5.76,1.97,73,3.38,2.62,1.04,0.85,5.8,5.2,3.15,96
Ca4,6.39,6.12,6.48,5.58,2.03,75,3.18,2.59,1.09,0.89,5.5,4.31,3.41,94
Ca5,6.52,6.09,6.5,5.48,2.09,84,2.66,2.49,1.1,0.93,5.1,3.98,3.33,90
Ca6,6.38,6.12,6.51,5.16,1.99,93,2.28,2.48,1.13,1.13,4.85,3.27,3.23,86
Ca7,6.39,6.16,6.57,4.79,2.08,101,2.05,2.63,1.08,1.22,4.35,2.62,2.96,82
Ca8,6.37,6.13,6.6,4.21,2.04,106,1.77,2.37,1.08,1.33,4.35,1.89,2.63,78
Ca9,6.24,6.04,6.73,3.52,1.62,111,1.53,2.33,1.14,1.35,3.8,1.3,2.11,83
Ca10,6.13,5.62,6.73,2.91,1.76,115,1.36,2.36,1.15,1.18,3.1,0.78,0.89,87
Ca11,5.98,5.25,6.58,2.17,1.49,119,1.16,2.3,1.3,1.24,2.4,0,0,NA
Ca12,5.8,4.87,6.59,1.61,1.38,125,0.94,2.21,1.11,1.03,1.55,0,0,NA
Ca13,5.6,4.55,6.42,1.04,1.2,126,0.71,2.8,0.83,0.63,1.1,0,0,NA
Ca14,5.37,4.42,6.11,0,0,NA,0.69,2.53,0.33,0.37,0.3,0,0,NA
Ca15,4.74,4.38,5.67,0,0,NA,0.52,1.32,0,0,NA,0,0,NA
Ca16,3.6,4.5,4.54,0,0,NA,0,0,0,0,NA,0,0,NA
