Platanista_gangetica_(SMNS_45648),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.28,3.31,2.03,2.46,1.02,102,1.61,1,0,0,NA,2.03,1.49,90
T2,1.39,3.7,2.06,3.23,1.52,103,1.61,1.53,0,0,NA,1.97,1.69,90
T3,1.55,3.6,2.06,3.6,1.97,112,1.42,1.38,0,0,NA,1.72,1.64,90
T4,1.82,3.73,2.11,3.22,1.69,117,1.3,1.47,0,0,NA,1.85,1.82,90
T5,1.89,3.65,2.19,3.23,1.79,112,1.15,1.7,0.81,1.11,1.55,0.95,1.71,90
T6,1.86,3.69,2.25,3.12,1.75,100,1.26,1.78,1.9,1.73,2,0.64,1.55,90
T7,2.03,3.66,2.36,3.27,1.8,86,1.06,1.8,2.29,1.9,2.5,0.62,1.56,90
T8,2.11,3.57,2.41,3.27,2.08,85,1.14,2.02,NA,1.99,2.5,0.8,1.79,90
T9,2.19,3.46,2.52,3.5,2.3,85,1.02,2.27,2.14,2.28,2.7,1.06,1.93,95
T10,2.35,3.38,2.55,3.77,2.32,80,0.91,2.38,2.36,1.98,2.7,2.66,1.84,100
L1,2.49,3.54,2.64,4.26,2.47,83,1.03,2.11,2.59,1.19,2.4,4.8,2,95
L2,2.77,3.59,2.75,4.61,2.44,78,1.1,2.078,2.52,1.28,2.4,5.77,1.88,90
L3,2.68,3.62,2.86,4.82,2.55,78,1.13,1.82,2.62,1.3,2.6,6.74,1.98,90
L4,2.91,3.64,3.06,4.67,2.39,78,1.23,1.82,2.7,1.03,2.3,6.53,2.13,90
L5,2.7,3.67,2.95,4.65,2.36,78,1.22,1.83,2.5,1.15,2.4,6.69,2.39,90
L6,2.88,3.59,3.09,4.65,2.61,78,1.43,1.85,2.59,1.23,2.5,6.43,2.17,98
L7,2.97,3.52,3.18,4.83,2.23,75,1.29,2.11,2.55,0.92,2.6,5.96,1.88,105
L8,3.06,3.58,3.24,NA,2.24,NA,1.24,2.04,NA,NA,NA,5.26,2.02,104
Ca1,3.16,3.72,3.34,4.07,2.58,70,1.17,2.07,2.25,0.67,2.3,4.64,2.03,98
Ca2,2.95,3.82,3.4,4.18,2.24,70,1.13,1.96,2.09,0.52,2,4.2,2.02,95
Ca3,2.76,3.8,3.3,4.22,1.94,74,1.1,1.73,1.64,0.43,1.6,3.81,2,90
Ca4,3.08,3.79,3.26,4.16,1.82,77,1.15,1.65,1.51,0.61,1.6,3.43,1.67,88
Ca5,2.89,3.64,3.25,3.98,1.76,77,1.05,1.58,1.47,0.48,1.4,3.24,1.5,83
Ca6,2.4,3.83,3.35,3.44,2.02,80,0.97,1.59,1.45,0.4,1.3,2.96,1.34,78
Ca7,2.42,3.77,3.33,3.18,1.76,83,0.87,1.6,1.52,0.62,1.15,2.23,1.33,75
Ca8,3.1,3.77,3.32,2.79,2.04,84,0.74,1.58,1.41,0.56,0.95,1.78,1.18,73
Ca9,2.27,3.53,3.24,2.37,2.28,93,0.55,1.2,1.2,0.59,0.65,1.23,1.04,68
Ca10,2.96,3.29,3.26,1.86,2.16,90,0.36,1.15,1.23,0.4,0.6,0.84,1.19,65
Ca11,2.43,3.18,3.21,1.39,2.23,92,0.42,1.23,1.07,0.53,0.45,0.37,1.02,70
Ca12,2.4,3.01,2.73,1.64,2.42,90,0.35,1.47,0.87,0.42,0.3,0,0,NA
Ca13,2.27,2.89,3.1,0.77,2.28,90,0.31,0.76,0,0,NA,0,0,NA
Ca14,1.88,2.81,2.97,0.48,1.79,90,0.24,1.44,0,0,NA,0,0,NA
Ca15,1.38,2.84,2.7,0,0,NA,0.3,1.05,0,0,NA,0,0,NA
Ca16,1.11,2.68,2.65,0,0,NA,0,0,0,0,NA,0,0,NA
