Tursiops_truncatus_(USNM_504906),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.42,4.85,3.76,3.66,1.12,118,3.5,1.14,0,0,NA,2.48,1.26,80
T2,2.33,4.25,3.63,5.48,1.08,121,3.78,1.95,0,0,NA,2.28,1.38,78
T3,3.1,3.83,3.56,6.23,1.52,122,4.02,2.22,0.37,0.65,3.2,2.04,2.11,86
T4,3.55,3.66,3.59,6.16,1.74,126,3.82,1.79,0.67,1.01,3.7,2.3,2.12,90
T5,3.86,3.67,3.69,6.4,1.82,129,3.94,1.68,0.7,0.95,4,2.48,2.4,94
T6,4.11,3.73,3.8,6.54,1.91,128,3.65,1.68,1.1,0.9,3.95,2.68,2.49,102
T7,4.25,3.82,3.72,7.37,1.99,123,3.67,1.81,1.43,1.04,4.05,2.96,2.86,98
T8,4.39,3.97,3.89,7.12,2.31,125,3.5,2.26,1.76,1.16,4.3,3.94,2.93,95
T9,4.62,4.13,4.03,7.43,2.37,126,3.44,2.58,2.35,1.36,4.55,4.68,2.85,92
T10,4.68,4.21,4.1,7.75,2.66,125,3.6,2.7,1.82,1.22,4.6,6.06,2.93,90
T11,4.7,4.2,4.22,8.54,3.11,126,3.55,2.69,2.34,1.24,4.95,6.95,3.22,96
T12,4.67,4.29,4.24,8.62,3.07,123,3.74,2.96,2.49,1.18,5,8.35,3.2,104
T13,4.54,4.3,4.36,9.05,3.27,119,3.43,2.8,2.51,1.3,5.25,10.76,3.22,108
L1,4.49,4.48,4.3,10.22,3.29,106,3.84,2.69,1.84,1.08,4.9,12.2,2.85,103
L2,4.44,4.67,4.3,11.06,3.33,102,3.89,2.44,1.55,1.17,4.75,12.22,2.88,100
L3,4.41,4.87,4.35,12.34,3.21,100,3.52,2.53,1.6,1.02,4.9,12.19,3.03,94
L4,4.36,4.84,4.35,13.1,3.02,101,3.82,2.27,1.01,1.08,4.85,11.98,3.18,94
L5,4.35,4.9,4.41,13.49,2.99,97,3.73,2.6,0.74,0.87,4.85,11.45,2.99,93
L6,4.34,4.84,4.58,13.3,2.93,94,3.61,2.49,0.82,1.05,4.95,11.12,3.04,93
L7,4.26,4.9,4.63,13.4,2.81,90,3.49,2.71,0.64,0.91,4.75,10.63,2.92,93
L8,4.21,4.87,4.77,13.49,2.89,88,3.64,2.54,0.62,0.88,4.7,10.21,2.94,88
L9,4.18,4.88,4.87,13.88,2.85,87,3.49,2.51,0.54,0.78,4.75,9.72,2.95,86
L10,4.09,4.92,4.87,14.15,3.01,87,3.44,2.48,0.36,0.63,4.9,9.45,3.04,87
L11,4.07,5.05,4.81,14.01,3.24,86,3.55,2.43,0.36,0.52,5.1,9.11,3.04,86
L12,4.07,4.96,4.86,13.6,2.93,85,3.41,2.25,0.45,0.62,5.1,8.8,2.93,84
L13,4.11,5.04,5,13.01,2.9,85,3.44,2.16,0.43,0.63,5.15,8.4,2.86,80
L14,4.08,5.08,4.96,12.39,3.02,85,3.64,2.37,0.43,0.58,5.25,8.12,2.89,80
L15,4.07,5.13,5.04,12.07,3.14,83,3.2,2.22,0.41,0.59,5.4,7.83,2.76,77
L16,4.06,5.11,5.24,11.74,2.89,80,3.15,2.25,0.4,0.75,5.4,7.46,3.06,73
Ca1,4.12,5.19,5.37,11.41,3.23,77,3.01,2.28,0.33,0.57,5.55,6.96,2.69,70
Ca2,4.09,5.29,5.61,11.15,2.78,76,2.88,2.26,0.56,0.53,6,6.48,2.53,74
Ca3,4.07,5.22,5.39,10.33,2.77,70,2.72,2.21,0.68,0.64,6.1,6.16,2.5,72
Ca4,4.09,5.17,5.38,9.99,2.94,67,2.34,2.41,0.86,0.68,6.05,6.01,2.43,71
Ca5,4.2,5.17,5.47,9.23,2.99,66,2.45,2.37,0.68,0.49,5.85,5.81,2.72,70
Ca6,4.22,5.31,5.67,9.18,2.99,65,2.29,2.45,0.93,0.67,5.75,5.46,3.02,71
Ca7,4.21,5.19,5.61,8.65,3.08,66,2.21,2.52,0.91,0.74,5.75,5.16,3.29,67
Ca8,4.39,5.24,5.61,8.92,3.17,73,1.87,2.69,0.87,0.71,5.5,5.19,3.58,66
Ca9,4.4,5.34,5.83,8.43,3.11,76,1.61,2.69,0.73,0.68,5.1,5.06,3.37,64
Ca10,4.51,5.34,6.08,8.25,3.32,78,1.5,2.58,0.81,0.79,4.75,4.32,2.9,62
Ca11,4.59,5.33,6.08,7.65,3.43,82,1.34,2.64,0.54,0.69,4.2,3.29,2.71,64
Ca12,4.69,5.26,6.2,6.86,3.75,95,1.11,2.71,0.52,0.75,3.85,2.83,2.4,65
Ca13,4.81,5.15,6.31,6.54,4.53,102,1.11,2.83,0.75,0.86,3.55,1.57,1.77,67
Ca14,4.85,4.84,6.17,5.78,4.79,111,1.04,3.02,0.68,0.74,3.05,0.73,1.52,70
Ca15,4.91,4.57,6.04,4.54,4.21,118,0.85,3.01,0.57,0.91,2.5,0,0,NA
Ca16,4.94,4.24,6.29,3.17,3.61,121,0.66,3.1,0.72,0.99,2,0,0,NA
Ca17,4.88,4.03,6.22,2.55,3.51,126,0.47,3.31,0.43,0.65,1.05,0,0,NA
Ca18,4.62,3.89,5.81,1.37,3.02,114,0.46,2.72,0.32,0.32,0.45,0,0,NA
Ca19,3.87,4.03,4.71,0.45,1.87,112,0.38,1.63,0,0,NA,0,0,NA
Ca20,2.78,4.04,4,0,0,NA,0,0,0,0,NA,0,0,NA
